text 1,text 2,label
"The hippocampus is a complex structure critically involved in numerous behavior-regulating systems. In young adults, multiple overlapping spatial modes along its longitudinal and transverse axes describe the organization of its functional integration with neocortex, extending the traditional framework emphasizing functional differences between sharply segregated hippocampal subregions. Yet, it remains unknown whether these modes (i.e. gradients) persist across the adult human lifespan, and relate to memory and molecular markers associated with brain function and cognition. In two independent samples, we demonstrate that the principal anteroposterior and second-order, mid-to-anterior/posterior hippocampal modes of neocortical functional connectivity, representing distinct dimensions of macroscale cortical organization, manifest across the adult lifespan. Specifically, individual differences in topography of the second-order gradient predicted episodic memory and mirrored dopamine D1 receptor distribution, capturing shared functional and molecular organization. Older age was associated with less distinct transitions along gradients (i.e. increased functional homogeneity). Importantly, preserved episodic memory predicted a youth-like gradient profile - emphasizing age-related gradient dedifferentiation as a marker of cognitive decline. Our results underscore a critical role of mapping multidimensional hippocampal organization in understanding the neural circuits that support memory across the adult lifespan.","The hippocampus is a complex structure critically involved in numerous behavior-regulating systems. In young adults, multiple overlapping spatial modes along its longitudinal and transverse axes describe the organization of its functional integration with neocortex, extending the traditional framework emphasizing functional differences between sharply segregated hippocampal subregions. Yet, it remains unknown whether these modes (i.e. gradients) persist across the adult human lifespan, and relate to memory and molecular markers associated with brain function and cognition. In two independent samples, we demonstrate that the principal anteroposterior and second-order, mid-to-anterior/posterior hippocampal modes of neocortical functional connectivity, representing distinct dimensions of macroscale cortical organization, manifest across the adult lifespan. Specifically, individual differences in topography of the second-order gradient predicted episodic memory and mirrored dopamine D1 receptor distribution, capturing shared functional and molecular organization. Older age was associated with less distinct transitions along gradients (i.e. increased functional homogeneity). Importantly, a youth-like gradient profile predicted preserved episodic memory - emphasizing age-related gradient dedifferentiation as a marker of cognitive decline. Our results underscore a critical role of mapping multidimensional hippocampal organization in understanding the neural circuits that support memory across the adult lifespan.",text 2
"Microelectrode arrays (MEAs) permit recordings with high electrode counts, thus generating complex datasets that would benefit from precise neuronal spike sorting for meaningful data extraction. Nevertheless, conventional spike sorting methods face limitations in recognizing diverse spike shapes. Here, we introduce PseudoSorter, which uses self-supervised learning techniques, a density-based pseudolabeling strategy, and an iterative fine-tuning process to enhance spike sorting accuracy. Through benchmarking, we demonstrate the superior performance of PseudoSorter compared to other spike sorting algorithms before applying PseudoSorter on MEA recordings from hippocampal neurons exposed to subneuronal concentrations of monomeric Tau as a model for Alzheimer's disease. Our results unveil that Tau diminishes the firing rate of a subset of neurons, which complement our findings observed using conventional electrophysiology analysis, and demonstrate that PseudoSorter's high accuracy and throughput make it a valuable tool for studying neurodegenerative diseases, enhancing our understanding of their underlying mechanisms, as well as for therapeutic drug screening.","Microelectrode arrays (MEAs) permit recordings with high electrode counts, thus generating complex datasets that would benefit from precise neuronal spike sorting for meaningful data extraction. Nevertheless, conventional spike sorting methods face limitations in recognizing diverse spike shapes. Here, we introduce PseudoSorter, which uses self-supervised learning techniques, a density-based pseudolabeling strategy, and an iterative fine-tuning process to enhance spike sorting accuracy. Through benchmarking, we demonstrate the superior performance of PseudoSorter compared to other spike sorting algorithms before applying PseudoSorter on MEA recordings from hippocampal neurons exposed to subneuronal concentrations of monomeric Tau as a model for Alzheimer's disease. Our results unveil that the firing rate of a subset of neurons diminishes the effect of Tau, which complement our findings observed using conventional electrophysiology analysis, and demonstrate that PseudoSorter's high accuracy and throughput make it a valuable tool for studying neurodegenerative diseases, enhancing our understanding of their underlying mechanisms, as well as for therapeutic drug screening.",text 1
"Within adult rodent hippocampus (HPC), opioids suppress inhibitory parvalbumin-expressing interneurons (PV-INs), disinhibiting local microcircuits. However, it is unknown whether this disinhibitory motif is conserved across cortical regions, species, or development. We observed that PV-IN-mediated inhibition is robustly suppressed by opioids in HPC proper but not primary neocortex in mice and non-human primates, with spontaneous inhibitory tone in resected human tissue also following a consistent dichotomy. This hippocampal disinhibitory motif is established in early development when PV-INs and opioids regulate early population activity. Morphine pretreatment partially occludes this acute opioid-mediated suppression, with implications for the effects of opioids on hippocampal network activity important for learning and memory. Our findings demonstrate that hippocampal development influences the way PV-INs exhibit divergent opioid sensitivity across brain regions, which is remarkably conserved over evolution, and highlight the underappreciated role of this process in shaping the action of opioids.","Within adult rodent hippocampus (HPC), opioids suppress inhibitory parvalbumin-expressing interneurons (PV-INs), disinhibiting local microcircuits. However, it is unknown whether this disinhibitory motif is conserved across cortical regions, species, or development. We observed that PV-IN-mediated inhibition is robustly suppressed by opioids in HPC proper but not primary neocortex in mice and non-human primates, with spontaneous inhibitory tone in resected human tissue also following a consistent dichotomy. This hippocampal disinhibitory motif is established in early development when PV-INs and opioids regulate early population activity. Morphine pretreatment partially occludes this acute opioid-mediated suppression, with implications for the effects of opioids on hippocampal network activity important for learning and memory. Our findings demonstrate that PV-INs exhibit divergent opioid sensitivity across brain regions, which is remarkably conserved over evolution, and highlight the underappreciated role of opioids acting through immature PV-INs in shaping hippocampal development.",text 2
"Interactions among brain areas are essential to most cognitive functions. Neuronal interactions between these areas depend on the modulation of synaptic strength. However, this modulation remains poorly understood. We recorded evoked responses at four hippocampal pathways in freely moving male rats across 24 hours. We show that synaptic strength at these pathways oscillates with a very slow periodicity and correlates with the durations of vigilance states. A model based on hypnogram data and synaptic strength at one pathway was able to predict the evolution of synaptic strength at most pathways, except one. These results reveal that memory processes may contribute to the temporal succession of vigilance states through rapid modulation of synaptic strength at several pathways during the sleep-wakefulness cycle, suggesting that memory processes are not only dependent on sleep amount but also on sleep architecture.","Interactions among brain areas are essential to most cognitive functions. Neuronal interactions between these areas depend on the modulation of synaptic strength. However, this modulation remains poorly understood. We recorded evoked responses at four hippocampal pathways in freely moving male rats across 24 hours. We show that synaptic strength at these pathways oscillates with a very slow periodicity and correlates with the durations of vigilance states. A model based on hypnogram data and synaptic strength at one pathway was able to predict the evolution of synaptic strength at most pathways, except one. These results reveal that the temporal succession of vigilance states may contribute to memory processes through rapid modulation of synaptic strength at several pathways during the sleep-wakefulness cycle, suggesting that memory processes are not only dependent on sleep amount but also on sleep architecture.",text 2
"Circular RNAs (circRNAs) are an expanding class of largely unexplored RNAs which are prominently enriched in the mammalian brain. Here, we systematically interrogate their role in excitatory synaptogenesis of rat hippocampal neurons using RNA interference. Thereby, we identify seven circRNAs as negative regulators of excitatory synapse formation, many of which contain high-affinity microRNA binding sites. Knockdown of one of these candidates, circRERE, promotes the formation of electrophysiologically silent synapses. Mechanistically, increased excitatory synapse development leads to the upregulation of synaptic mRNAs containing binding sites for miR-128-3p, which is altered by circRERE knockdown. Overexpression of circRERE stabilizes miR-128-3p and rescues exaggerated synapse formation upon circRERE knockdown in a miR-128-3p binding site-specific manner. Overall, our results uncover circRERE-mediated stabilization of miR-128-3p as a means to restrict the formation of silent excitatory synaptic co-clusters and more generally implicate circRNA-dependent microRNA regulation in the control of synapse development and function.","Circular RNAs (circRNAs) are an expanding class of largely unexplored RNAs which are prominently enriched in the mammalian brain. Here, we systematically interrogate their role in excitatory synaptogenesis of rat hippocampal neurons using RNA interference. Thereby, we identify seven circRNAs as negative regulators of excitatory synapse formation, many of which contain high-affinity microRNA binding sites. Knockdown of one of these candidates, circRERE, promotes the formation of electrophysiologically silent synapses. Mechanistically, circRERE knockdown results in a preferential upregulation of synaptic mRNAs containing binding sites for miR-128-3p. Overexpression of circRERE stabilizes miR-128-3p and rescues exaggerated synapse formation upon circRERE knockdown in a miR-128-3p binding site-specific manner. Overall, our results uncover circRERE-mediated stabilization of miR-128-3p as a means to restrict the formation of silent excitatory synaptic co-clusters and more generally implicate circRNA-dependent microRNA regulation in the control of synapse development and function.",text 2
"Synapses represent a fundamental unit of information transfer during cognition via presynaptic vesicle exocytosis. It has been established that evoked release is probabilistic, but the mechanisms behind spontaneous release are less clear. Understanding spontaneous release is vital, as it plays a key role in maintaining synaptic connections. We propose a model framework for spontaneous release where the reserve pool geometrically constrains recycling pool vesicles, creating an entropic force that drives spontaneous release rate. We experimentally support this framework using SEM, fluorescence microscopy, computational modeling, and pharmacological approaches. Our model correctly predicts the spontaneous release rate as a function of presynapse size. Finally, we use our approach to show that increased spontaneous release rates cause the accumulation of β-amyloid mutations linked to Alzheimer's disease. These results indicate that synapses regulate the density of the recycling pool to control the spontaneous release rate and may serve as an early indicator of Alzheimer's disease.","Synapses represent a fundamental unit of information transfer during cognition via presynaptic vesicle exocytosis. It has been established that evoked release is probabilistic, but the mechanisms behind spontaneous release are less clear. Understanding spontaneous release is vital, as it plays a key role in maintaining synaptic connections. We propose a model framework for spontaneous release where the reserve pool geometrically constrains recycling pool vesicles, creating an entropic force that drives spontaneous release rate. We experimentally support this framework using SEM, fluorescence microscopy, computational modeling, and pharmacological approaches. Our model correctly predicts the spontaneous release rate as a function of presynapse size. Finally, we use our approach to show how β-amyloid mutations linked to Alzheimer's disease lead to increased spontaneous release rates. These results indicate that synapses regulate the density of the recycling pool to control the spontaneous release rate and may serve as an early indicator of Alzheimer's disease.",text 2
"Hippocampal cognitive maps encode the relative locations of spatial cues in an environment and adapt their representation when boundaries geometrically change. Hippocampal cognitive maps can represent abstract knowledge, yet it's unclear whether the hippocampus is sensitive to changes to the extreme coordinates, boundaries, of abstract spaces. We create a memory-guided choice task to test whether the human hippocampus and medial prefrontal cortex (mPFC) flexibly learn abstract boundary representations in distinct two-dimensional (2D) knowledge spaces. Participants build up a 2D map-like representation of abstract boundaries, where the hippocampus and mPFC represent a decision cue's Euclidean distance to the closest boundary. Notably, mPFC distance representations selectively reflect individual performance improvements during the task. Testing for neural sensitivity to boundary-defined contextual changes, abstract boundaries seemingly guide the hippocampus to change flexibly in response. These findings suggest that abstract knowledge retrieval within dynamically changing contexts is facilitated by generalized mPFC and flexible hippocampal boundary representations.","Hippocampal cognitive maps encode the relative locations of spatial cues in an environment and adapt their representation when boundaries geometrically change. Hippocampal cognitive maps can represent abstract knowledge, yet it's unclear whether the hippocampus is sensitive to changes to the extreme coordinates, boundaries, of abstract spaces. We create a memory-guided choice task to test whether the human hippocampus and medial prefrontal cortex (mPFC) flexibly learn abstract boundary representations in distinct two-dimensional (2D) knowledge spaces. Participants build up a 2D map-like representation of abstract boundaries, where the hippocampus and mPFC represent a decision cue's Euclidean distance to the closest boundary. Notably, mPFC distance representations selectively reflect individual performance improvements during the task. Testing for neural sensitivity to boundary-defined contextual changes, only the hippocampus flexibly represents abstract boundaries, which relates to choice behavior. These findings suggest that abstract knowledge retrieval within dynamically changing contexts is facilitated by generalized mPFC and flexible hippocampal boundary representations.",text 2
"Memory consolidation can be enhanced during sleep using targeted memory reactivation (TMR) and closed-loop (CL) acoustic stimulation on the up-phase of slow oscillations (SOs). Here, we test whether applying TMR at specific phases of the SOs (up vs. down vs. no reactivation) can influence the behavioral and neural correlates of motor memory consolidation in healthy young adults. Results show that up- (as compared to down-) state cueing results in greater performance improvement. Sleep electrophysiological data indicate that higher amplitude and greater peak-nested sigma power in SOs cause up- (as compared to down-) stimulated SOs. Task-related functional magnetic resonance images reveal that up-state cueing strengthens activity in - and segregation of - striato-motor and hippocampal networks; and that these modulations are related to the beneficial effect of TMR on sleep features and performance. Overall, these findings highlight the potential of CL-TMR to induce phase-specific modulations of motor performance, sleep oscillations and brain responses during motor memory consolidation.","Memory consolidation can be enhanced during sleep using targeted memory reactivation (TMR) and closed-loop (CL) acoustic stimulation on the up-phase of slow oscillations (SOs). Here, we test whether applying TMR at specific phases of the SOs (up vs. down vs. no reactivation) can influence the behavioral and neural correlates of motor memory consolidation in healthy young adults. Results show that up- (as compared to down-) state cueing results in greater performance improvement. Sleep electrophysiological data indicate that up- (as compared to down-) stimulated SOs exhibits higher amplitude and greater peak-nested sigma power. Task-related functional magnetic resonance images reveal that up-state cueing strengthens activity in - and segregation of - striato-motor and hippocampal networks; and that these modulations are related to the beneficial effect of TMR on sleep features and performance. Overall, these findings highlight the potential of CL-TMR to induce phase-specific modulations of motor performance, sleep oscillations and brain responses during motor memory consolidation.",text 2
"Long-term potentiation (LTP) is a widely studied form of synaptic plasticity engaged during learning and memory. Here the ultrastructural evidence is reviewed that supports an elevated and sustained increase in the probability of vesicle release and recycling during LTP. In hippocampal area CA1, small dense-core vesicles and tethered synaptic vesicles are recruited to presynaptic boutons enlarging active zones. By 2 h during LTP, there is a sustained loss of vesicles, especially in presynaptic boutons containing mitochondria and clathrin-coated pits. This decrease in vesicles accompanies an enlargement of the presynaptic bouton, suggesting they supply membrane needed for the enlarged bouton surface area. The spatial relationship of vesicles to the active zone varies with functional status. Tightly docked vesicles contact the presynaptic membrane and are primed for release of neurotransmitter upon the next action potential. Loosely docked vesicles are located within 8 nm of the presynaptic membrane. Non-docked vesicles comprise recycling and reserve pools. Vesicles are tethered to the active zone via filaments composed of molecules engaged in docking and release processes. Electron tomography reveals clustering of docked vesicles at higher local densities in active zones after LTP. Furthermore, the tethering filaments on vesicles at the active zone are shorter, and their attachment sites are shifted closer to the active zone. These changes suggest more vesicles are docked, primed and ready for release. The findings provide strong ultrastructural evidence suggesting that an increase in release probability leads to the activation of LTP, rather than being a consequence of it.","Long-term potentiation (LTP) is a widely studied form of synaptic plasticity engaged during learning and memory. Here the ultrastructural evidence is reviewed that supports an elevated and sustained increase in the probability of vesicle release and recycling during LTP. In hippocampal area CA1, small dense-core vesicles and tethered synaptic vesicles are recruited to presynaptic boutons enlarging active zones. By 2 h during LTP, there is a sustained loss of vesicles, especially in presynaptic boutons containing mitochondria and clathrin-coated pits. This decrease in vesicles accompanies an enlargement of the presynaptic bouton, suggesting they supply membrane needed for the enlarged bouton surface area. The spatial relationship of vesicles to the active zone varies with functional status. Tightly docked vesicles contact the presynaptic membrane and are primed for release of neurotransmitter upon the next action potential. Loosely docked vesicles are located within 8 nm of the presynaptic membrane. Non-docked vesicles comprise recycling and reserve pools. Vesicles are tethered to the active zone via filaments composed of molecules engaged in docking and release processes. Electron tomography reveals clustering of docked vesicles at higher local densities in active zones after LTP. Furthermore, the tethering filaments on vesicles at the active zone are shorter, and their attachment sites are shifted closer to the active zone. These changes suggest more vesicles are docked, primed and ready for release. The findings provide strong ultrastructural evidence for a long-lasting increase in release probability following LTP.",text 2
"Gadolinium-based contrast agents (GBCAs) for magnetic resonance imaging (MRI) are gadolinium chelates and can leave gadolinium in brain regions after administration, causing damage to brain tissues. However, the exact effects of gadolinium on synaptic function and the underlying mechanisms have not yet been elucidated. Here, we report that gadolinium differentially modulates evoked and spontaneous synaptic transmission and induces bidirectional changes in the efficacy of evoked synaptic transmission in the mouse hippocampus in a concentration-dependent manner. Low concentration gadolinium (100 μM) modestly potentiated evoked field excitatory postsynaptic potentials (fEPSPs), while high concentration gadolinium induced group 1 metabotropic glutamate receptor (mGluR)-, endocannabinoid (eCB)-, and purinergic P2Y1 receptor (P2Y1R)-dependent, presynaptically-expressed long-term depression (LTD). Higher concentration of gadolinium (1,000 μM) also induced NMDAR- and mGluR-independent, partially P2Y13R-dependent, postssynaptically-expressed LTD. Low concentration gadolinium greatly increased miniature excitatory postsynaptic current (mEPSC) frequency, while high concentration gadolinium much more robustly increased its frequency and amplitude. Finally, we found that evoked EPSCs were not affected by a macrocyclic GBCA, gadoterate meglumine (Gd-GOTA, Magnescope). However, evoked EPSCs were enhanced by a linear GBCA, gadopentetate dimeglumine (Gd-DTPA, Magnevist), at 100 μM, due to its inability to chelate gadolinium effectively, a clinically relevant concentration in the human brain after repeated clinical GBCA administration and in the cerebrospinal fluid in the rodent brain during experimental GBCA administration. Thus, evoked and spontaneous synaptic transmission are independently modulated by gadolinium. Furthermore, Gd-GOTA effectively chelated gadolinium; however, Gd-DTPA had side effects on the evoked synaptic transmission, presumably because it did not completely chelate gadolinium.","Gadolinium-based contrast agents (GBCAs) for magnetic resonance imaging (MRI) are gadolinium chelates and can leave gadolinium in brain regions after administration, causing damage to brain tissues. However, the exact effects of gadolinium on synaptic function and the underlying mechanisms have not yet been elucidated. Here, we report that gadolinium differentially modulates evoked and spontaneous synaptic transmission and induces bidirectional changes in the efficacy of evoked synaptic transmission in the mouse hippocampus in a concentration-dependent manner. Low concentration gadolinium (100 μM) modestly potentiated evoked field excitatory postsynaptic potentials (fEPSPs), while high concentration gadolinium induced group 1 metabotropic glutamate receptor (mGluR)-, endocannabinoid (eCB)-, and purinergic P2Y1 receptor (P2Y1R)-dependent, presynaptically-expressed long-term depression (LTD). Higher concentration of gadolinium (1,000 μM) also induced NMDAR- and mGluR-independent, partially P2Y13R-dependent, postssynaptically-expressed LTD. Low concentration gadolinium greatly increased miniature excitatory postsynaptic current (mEPSC) frequency, while high concentration gadolinium much more robustly increased its frequency and amplitude. Finally, we found that evoked EPSCs were not affected by a macrocyclic GBCA, gadoterate meglumine (Gd-GOTA, Magnescope). However, evoked EPSCs were enhanced by a linear GBCA, gadopentetate dimeglumine (Gd-DTPA, Magnevist), at 100 μM, a clinically relevant concentration in the human brain after repeated clinical GBCA administration and in the cerebrospinal fluid in the rodent brain during experimental GBCA administration. Thus, evoked and spontaneous synaptic transmission are independently modulated by gadolinium. Furthermore, Gd-GOTA effectively chelated gadolinium; however, Gd-DTPA had side effects on the evoked synaptic transmission, presumably because it did not completely chelate gadolinium.",text 2
