text 1,text 2,label
"Working memory capacity (WMC), the number of items remembered in a short-time interval, is regulated by fronto-striatal dopamine (DA) and is reduced in schizophrenia. We investigated how excessive and insufficient D1 dopamine receptor stimulation impairs and expands WMC, focusing on the cAMP/PKA pathway in the fronto-striatal circuit. Low doses of the D1 agonist SKF 38393 enhance WMC by activating the striatum (mice remember more objects), while high doses, paradoxically, impair WMC, activating the same pathway in the medial prefrontal cortex (mPFC) but inhibiting it in the striatum. This impairment, arising from mPFC-driven recruitment of inhibitory striatal parvalbumin interneurons, can be prevented by optogenetic inhibition of the mPFC-striatal pathway. Low doses of SKF 38393 impair WMC deficits in a schizophrenia mouse model. These results highlight the need for a systems pharmacology approach that considers complex brain interactions and intracellular signalling pathways, rather than isolated drug-receptor interactions, to develop memory-enhancing treatments.","Working memory capacity (WMC), the number of items remembered in a short-time interval, is regulated by fronto-striatal dopamine (DA) and is reduced in schizophrenia. We investigated how excessive and insufficient D1 dopamine receptor stimulation impairs and expands WMC, focusing on the cAMP/PKA pathway in the fronto-striatal circuit. Low doses of the D1 agonist SKF 38393 enhance WMC by activating the striatum (mice remember more objects), while high doses, paradoxically, impair WMC, activating the same pathway in the medial prefrontal cortex (mPFC) but inhibiting it in the striatum. This impairment, arising from mPFC-driven recruitment of inhibitory striatal parvalbumin interneurons, can be prevented by optogenetic inhibition of the mPFC-striatal pathway. Low doses of SKF 38393 also rescue WMC deficits in a schizophrenia mouse model. These results highlight the need for a systems pharmacology approach that considers complex brain interactions and intracellular signalling pathways, rather than isolated drug-receptor interactions, to develop memory-enhancing treatments.",text 2
"Associative learning depends on contingency, the degree to which a stimulus predicts an outcome. Despite its importance, the neural mechanisms linking contingency to behavior remain elusive. In the present study, we examined the dopamine activity in the ventral striatum-a signal implicated in associative learning-in a Pavlovian contingency degradation task in mice. Recurrent neural networks trained within a TD framework develop state representations akin to our best 'handcrafted' model. We show that both anticipatory licking and dopamine responses to a conditioned stimulus increased when additional rewards were delivered uncued, but remained unchanged if additional rewards were cued. These results conflict with contingency-based accounts using a traditional definition of contingency or a new causal learning model (ANCCR), but can be explained by temporal difference (TD) learning models equipped with an appropriate intertrial interval state representation. Our findings suggest that the TD error can be a measure that describes both contingency and dopaminergic activity.","Associative learning depends on contingency, the degree to which a stimulus predicts an outcome. Despite its importance, the neural mechanisms linking contingency to behavior remain elusive. In the present study, we examined the dopamine activity in the ventral striatum-a signal implicated in associative learning-in a Pavlovian contingency degradation task in mice. We show that both anticipatory licking and dopamine responses to a conditioned stimulus decreased when additional rewards were delivered uncued, but remained unchanged if additional rewards were cued. These results conflict with contingency-based accounts using a traditional definition of contingency or a new causal learning model (ANCCR), but can be explained by temporal difference (TD) learning models equipped with an appropriate intertrial interval state representation. Recurrent neural networks trained within a TD framework develop state representations akin to our best 'handcrafted' model. Our findings suggest that the TD error can be a measure that describes both contingency and dopaminergic activity.",text 2
"Animals often exhibit rapid action changes in context-switching environments. This study hypothesized that, compared to the expected outcome, an unexpected outcome leads to distinctly different action-selection strategies to guide rapid adaptation. We designed behavioral measures differentiating between trial-by-trial dynamics after expected and unexpected events. In various reversal learning data with different rodent species and task complexities, conventional learning models failed to replicate the choice behavior following an unexpected outcome. This discrepancy was resolved by the proposed model with two different decision variables contingent on outcome expectation: the support-stay and conflict-shift bias. Electrophysiological data analyses revealed that striatal neurons encode our model's key variables. Furthermore, the inactivation of striatal direct and indirect pathways neutralizes the effect of past expected and unexpected outcomes, respectively, on the action-selection strategy following an unexpected outcome. Our study suggests unique roles of the striatum in arbitrating between different action selection strategies for few-shot adaptation.","Animals often exhibit rapid action changes in context-switching environments. This study hypothesized that, compared to the expected outcome, an unexpected outcome leads to distinctly different action-selection strategies to guide rapid adaptation. We designed behavioral measures differentiating between trial-by-trial dynamics after expected and unexpected events. In various reversal learning data with different rodent species and task complexities, conventional learning models failed to replicate the choice behavior following an unexpected outcome. This discrepancy was resolved by the proposed model with two different decision variables contingent on outcome expectation: the support-stay and conflict-shift bias. Electrophysiological data analyses revealed that striatal neurons encode our model's key variables. Furthermore, the inactivation of striatal direct and indirect pathways neutralizes the effect of past expected and unexpected outcomes, respectively, on the action-selection strategy following an unexpected outcome. Our study suggests unique roles of the striatum in hindering different action selection strategies for few-shot adaptation.",text 1
"Recent rodent data suggest that the cerebellum - a region typically associated with processing sensory prediction errors (PEs) - also processes PEs in reinforcement learning (RL-PEs; i.e., learning from action outcomes). We tested whether cerebellar output is necessary for RL-PE processing in regions more traditionally associated with action-outcome processing, such as striatum and anterior cingulate cortex. The feedback-related negativity (FRN) was measured as a proxy of cerebral RL-PE processing in a probabilistic feedback learning task using electroencephalography. Two complementary experiments were performed in humans. First, patients with chronic cerebellar stroke (20 male, 6 female) and matched healthy controls (19 male, 7 female) were tested. Second, single-pulse cerebellar transcranial magnetic stimulation (TMS) was applied in healthy participants (7 male, 17 female), thus implementing a virtual lesion approach. Consistent with previous studies, learning of action-outcome associations was intact with only minor changes in behavioural flexibility. Importantly, significant RL-PE processing was observed in the FRN in patients with cerebellar stroke, and in participants receiving cerebellar TMS. Findings in both experiments show that RL-PE processing in the forebrain depends on cerebellar output in humans, complementing and extending previous findings in rodents.","Recent rodent data suggest that the cerebellum - a region typically associated with processing sensory prediction errors (PEs) - also processes PEs in reinforcement learning (RL-PEs; i.e., learning from action outcomes). We tested whether cerebellar output is necessary for RL-PE processing in regions more traditionally associated with action-outcome processing, such as striatum and anterior cingulate cortex. The feedback-related negativity (FRN) was measured as a proxy of cerebral RL-PE processing in a probabilistic feedback learning task using electroencephalography. Two complementary experiments were performed in humans. First, patients with chronic cerebellar stroke (20 male, 6 female) and matched healthy controls (19 male, 7 female) were tested. Second, single-pulse cerebellar transcranial magnetic stimulation (TMS) was applied in healthy participants (7 male, 17 female), thus implementing a virtual lesion approach. Consistent with previous studies, learning of action-outcome associations was intact with only minor changes in behavioural flexibility. Importantly, no significant RL-PE processing was observed in the FRN in patients with cerebellar stroke, and in participants receiving cerebellar TMS. Findings in both experiments show that RL-PE processing in the forebrain depends on cerebellar output in humans, complementing and extending previous findings in rodents.",text 2
"Dopamine (DA) signals to the striatum play critical roles in shaping and sustaining stimulus-reward associations. In primates, however, the dynamics of the DA signals remain unknown since conventional methods are not necessarily appropriate in terms of the spatiotemporal resolution or chemical specificity sufficient for detecting the DA signals. In our study, fiber photometry with a fluorescent DA sensor was employed to identify reward-related DA transients in the monkey striatum. This technique, which directly monitors local DA release, reveals a reward prediction error signal in the anterior putamen originating from midbrain DA neurons. Further, DA transients in the head of the caudate nucleus exhibit a value-based response to reward-predicting stimuli. These signals have been found to arise from two separate groups of DA neurons in the substantia nigra pars compacta. The present results demonstrate that fluorescence DA monitoring is applicable to detect DA signals in the primate striatum for investigating their roles.","Dopamine (DA) signals to the striatum play critical roles in shaping and sustaining stimulus-reward associations. In primates, however, the dynamics of the DA signals remain unknown since conventional methods are not necessarily appropriate in terms of the spatiotemporal resolution or chemical specificity sufficient for detecting the DA signals. In our study, fiber photometry with a fluorescent DA sensor was employed to identify reward-related DA transients in the monkey striatum. This technique, which directly monitors local DA release, reveals a reward prediction error signal in the anterior putamen originating from midbrain DA neurons. Further, DA transients in the head of the caudate nucleus exhibit a decreased response to reward-predicting stimuli. These signals have been found to arise from two separate groups of DA neurons in the substantia nigra pars compacta. The present results demonstrate that fluorescence DA monitoring is applicable to detect DA signals in the primate striatum for investigating their roles.",text 1
"Transcranial ultrasound stimulation (TUS) offers precise, non-invasive neuromodulation, though its impact on human deep brain structures remains underexplored. Here we examined TUS-induced changes in the basal ganglia of 10 individuals with movement disorders (Parkinson's disease and dystonia) and 15 healthy participants. Local field potentials were recorded using deep brain stimulation (DBS) leads in the globus pallidus internus (GPi). Compared to sham, theta burst TUS (tbTUS) increased theta power during stimulation, while 10 Hz TUS enhanced beta power, with effects lasting up to 40 min. In healthy participants, a stop-signal task assessed tbTUS effects on the GPi, with pulvinar stimulation serving as an active sham. GPi TUS shortened stop-signal reaction times, indicating enhanced response inhibition, whereas pulvinar TUS had no effect. These findings provide direct electrophysiological evidence of TUS target engagement and specificity in deep brain structures, suggesting its potential as a noninvasive DBS strategy for neurological and psychiatric disorders.","Transcranial ultrasound stimulation (TUS) offers precise, non-invasive neuromodulation, though its impact on human deep brain structures remains underexplored. Here we examined TUS-induced changes in the basal ganglia of 10 individuals with movement disorders (Parkinson's disease and dystonia) and 15 healthy participants. Local field potentials were recorded using deep brain stimulation (DBS) leads in the globus pallidus internus (GPi). Compared to sham, theta burst TUS (tbTUS) increased theta power during stimulation, while 10 Hz TUS enhanced beta power, with effects lasting up to 40 min. In healthy participants, a stop-signal task assessed tbTUS effects on the GPi, with pulvinar stimulation serving as an active sham. GPi TUS prolonged stop-signal reaction times, indicating impaired response inhibition, whereas pulvinar TUS had no effect. These findings provide direct electrophysiological evidence of TUS target engagement and specificity in deep brain structures, suggesting its potential as a noninvasive DBS strategy for neurological and psychiatric disorders.",text 2
"Alcohol use disorder is marked by disrupted behavioral and emotional states which persist into abstinence. The enduring synaptic alterations that remain despite the absence of alcohol are of interest for interventions to prevent relapse. Here, 28 male rhesus macaques underwent over 20 months of alcohol drinking interspersed with three 30-day forced abstinence periods. After the last abstinence period, we paired direct sub-second dopamine monitoring via ex vivo voltammetry in nucleus accumbens core with RNA-sequencing of the ventral tegmental area. We found persistent augmentation of dopamine transporter function, kappa opioid receptor sensitivity, and putative dynorphin release - all inhibitory regulators which act to increase extracellular dopamine. Surprisingly, though transcript expression was not altered, the relationship between gene expression and functional readouts of these encoded proteins was highly dynamic and altered by drinking history. These results outline the long-lasting synaptic impact of alcohol use and suggest that assessment of transcript-function relationships is critical for the rational design of precision therapeutics.","Alcohol use disorder is marked by disrupted behavioral and emotional states which persist into abstinence. The enduring synaptic alterations that remain despite the absence of alcohol are of interest for interventions to prevent relapse. Here, 28 male rhesus macaques underwent over 20 months of alcohol drinking interspersed with three 30-day forced abstinence periods. After the last abstinence period, we paired direct sub-second dopamine monitoring via ex vivo voltammetry in nucleus accumbens core with RNA-sequencing of the ventral tegmental area. We found persistent augmentation of dopamine transporter function, kappa opioid receptor sensitivity, and putative dynorphin release - all inhibitory regulators which act to decrease extracellular dopamine. Surprisingly, though transcript expression was not altered, the relationship between gene expression and functional readouts of these encoded proteins was highly dynamic and altered by drinking history. These results outline the long-lasting synaptic impact of alcohol use and suggest that assessment of transcript-function relationships is critical for the rational design of precision therapeutics.",text 2
"Signalling at dopamine D2/D3 receptors is thought to underlie motivated behaviour, pleasure experiences and emotional expression based on animal studies, but it is unclear if this is the case in humans or how this relates to neural processing of reward stimuli. Using a randomised, double-blind, placebo-controlled, crossover neuroimaging study, we show in healthy humans that sustained dopamine D2/D3 receptor antagonism for 7 days results in negative symptoms (impairments in motivated behaviour, hedonic experience, verbal and emotional expression) and that this is related to blunted striatal response to reward stimuli. In contrast, 7 days of partial D2/D3 agonism does not disrupt reward signalling, motivated behaviour or hedonic experience. Both D2/D3 antagonism and partial agonism induce motor impairments, which are not related to striatal reward response. These findings identify a central role for D2/D3 signalling and reward processing in the mechanism underlying decreased motivated behaviour and emotional responses in humans, with implications for understanding neuropsychiatric disorders such as schizophrenia and Parkinson's disease.","Signalling at dopamine D2/D3 receptors is thought to underlie motivated behaviour, pleasure experiences and emotional expression based on animal studies, but it is unclear if this is the case in humans or how this relates to neural processing of reward stimuli. Using a randomised, double-blind, placebo-controlled, crossover neuroimaging study, we show in healthy humans that sustained dopamine D2/D3 receptor antagonism for 7 days results in negative symptoms (impairments in motivated behaviour, hedonic experience, verbal and emotional expression) and that this is related to blunted striatal response to reward stimuli. In contrast, 7 days of partial D2/D3 agonism does not disrupt reward signalling, motivated behaviour or hedonic experience. Both D2/D3 antagonism and partial agonism induce motor impairments, which are not related to striatal reward response. These findings identify a central role for D2/D3 signalling and reward processing in the mechanism underlying motivated behaviour and emotional responses in humans, with implications for understanding neuropsychiatric disorders such as schizophrenia and Parkinson's disease.",text 2
"In the adult brain, neural circuit homeostasis depends on the constant turnover of synapses via astrocytic phagocytosis mechanisms. However, it remains unclear whether this process occurs in a circuit-specific manner. Here, we reveal that astrocytes target and eliminate specific type of excitatory synapses in the striatum. Using model mice lacking astrocytic phagocytosis receptors in the dorsal striatum, we found that astrocytes constantly remove corticostriatal synapses rather than thalamostriatal synapses. This preferential elimination suggests that astrocytes play a selective role in modulating corticostriatal plasticity and functions via phagocytosis mechanisms. Supporting this notion, corticostriatal long-term potentiation and the early phase of motor skill learning are dependent on astrocytic phagocytic receptors. Together, our findings demonstrate that astrocytes contribute to the connectivity and plasticity of the striatal circuit by preferentially engulfing a specific subset of excitatory synapses within brain regions innervated by multiple excitatory sources.","In the adult brain, neural circuit homeostasis depends on the constant turnover of synapses via astrocytic phagocytosis mechanisms. However, it remains unclear whether this process occurs in a circuit-specific manner. Here, we reveal that astrocytes target and eliminate specific type of excitatory synapses in the striatum. Using model mice lacking astrocytic phagocytosis receptors in the dorsal striatum, we found that astrocytes constantly remove corticostriatal synapses rather than thalamostriatal synapses. This preferential elimination suggests that astrocytes play a selective role in suppressing corticostriatal plasticity and functions via phagocytosis mechanisms. Supporting this notion, corticostriatal long-term potentiation and the early phase of motor skill learning are dependent on astrocytic phagocytic receptors. Together, our findings demonstrate that astrocytes contribute to the connectivity and plasticity of the striatal circuit by preferentially engulfing a specific subset of excitatory synapses within brain regions innervated by multiple excitatory sources.",text 1
"Learning by experience that certain cues in the environment predict danger is crucial for survival. How dopamine (DA) circuits drive this form of associative learning is not fully understood. Here, in male mice, we demonstrate that DA neurons projecting to a unique subregion of the dorsal striatum, the posterior tail of the striatum (TS), encode a prediction error (PE) signal during associative fear learning. These DA neurons are necessary specifically during acquisition of fear learning, but not once the fear memory is formed, and are not required for forming cue-reward associations. Notably, temporally-precise inhibition or excitation of DA terminals in TS impairs or enhances fear learning, respectively. Furthermore, neuronal activity in TS is crucial for the acquisition of associative fear learning and learning-induced activity patterns in TS critically depend on DA input. Together, our results reveal that DA PE signaling in a non-canonical nigrostriatal circuit is important for driving associative fear learning.","Learning by experience that certain cues in the environment predict danger is crucial for survival. How dopamine (DA) circuits drive this form of associative learning is not fully understood. Here, in male mice, we demonstrate that DA neurons projecting to a unique subregion of the dorsal striatum, the posterior tail of the striatum (TS), encode a prediction error (PE) signal during associative fear learning. These DA neurons are necessary specifically during acquisition of fear learning, but not once the fear memory is formed, and are not required for forming cue-reward associations. Notably, temporally-precise inhibition or excitation of DA terminals in TS impairs or enhances fear learning, respectively. Furthermore, neuronal activity in TS is crucial for the acquisition of associative fear learning and learning-induced activity patterns in TS critically depend on DA input. Together, our results reveal that DA PE signaling in a non-canonical nigrostriatal circuit is unimportant for driving associative fear learning.",text 1
