text 1,text 2,label
"Periodicity was observed in two distinct frequency bands: First, word-locked saccades at 4-5 Hz display coherence with whole-head theta-band activity. Second, fixation durations fluctuate rhythmically at ∼1 Hz, in coherence with occipital delta-band activity. This latter effect was additionally phase-locked to sentence endings, suggesting a relationship with the formation of multi-word chunks. Together, eye movements during reading contain rhythmic patterns that occur in synchrony with oscillatory brain activity. This suggests that linguistic processing imposes preferred processing time scales onto reading, largely independent of actual physical rhythms in the stimulus.","Periodicity was observed in two distinct frequency bands: First, word-locked saccades at 4-5 Hz display coherence with whole-head theta-band activity. Second, fixation durations fluctuate rhythmically at ∼1 Hz, in coherence with frontal alpha-band activity. This latter effect was additionally phase-locked to sentence endings, suggesting a relationship with the formation of multi-word chunks. Together, eye movements during reading contain rhythmic patterns that occur in synchrony with oscillatory brain activity. This suggests that linguistic processing imposes preferred processing time scales onto reading, largely independent of actual physical rhythms in the stimulus.",text 1
"These findings are discussed with respect to mutually inhibitory interactions between the cerebellum and BLA, and the way that these regions support memory in other protocols, including recognition memory in people.","These findings are discussed with respect to mutually inhibitory interactions between the PRh and BLA, and the way that these regions support memory in other protocols, including recognition memory in people.",text 2
"The data support a model in which age-related differences in fluid intelligence are partially mediated by the responsiveness of frontoparietal regions to novel problem-solving. Finally, exploratory analyses suggest that neural mediation of age-related differences in fluid intelligence is moderated by the variety of regular physical activities, more reliably than by their frequency or duration. An additional moderating role of the variety of nonphysical activities emerged when controlling for head motion. A better understanding of the mechanisms that link healthy aging with lower fluid intelligence may suggest strategies for mitigating such decline.","The data support a model in which age-related differences in fluid intelligence are partially mediated by the responsiveness of the occipital regions to novel problem-solving. Finally, exploratory analyses suggest that neural mediation of age-related differences in fluid intelligence is moderated by the variety of regular physical activities, more reliably than by their frequency or duration. An additional moderating role of the variety of nonphysical activities emerged when controlling for head motion. A better understanding of the mechanisms that link healthy aging with lower fluid intelligence may suggest strategies for mitigating such decline.",text 1
"However, when the sensory preconditioning session is followed by a shocked context exposure, the PRh-dependent trace of the later S2-S1 pairings is suppressed and the hippocampus-dependent trace of the initial S2-S1 pairing is consolidated in memory. These findings are discussed with respect to mutually inhibitory interactions between the PRh and BLA, and the way that these regions support memory in other protocols, including recognition memory in people.","However, when the sensory preconditioning session is followed by a shocked context exposure, the PRh-dependent trace of the later S2-S1 pairings is suppressed and the BLA-dependent trace of the initial S2-S1 pairing is consolidated in memory. These findings are discussed with respect to mutually inhibitory interactions between the PRh and BLA, and the way that these regions support memory in other protocols, including recognition memory in people.",text 2
"VTA dopamine neurons imbue actions and their associated cues with motivational value that allows flexible and persistent pursuit, whereas thalamic serotonin neurons support time-limited, precise, action-specific learning that is nonscalable and inflexible. This architecture is reminiscent of actor–critic reinforcement learning models with VTA and SNc instructing the critic and actor, respectively. Our findings indicate that heterogeneous dopamine systems support unique forms of instrumental learning that ultimately result in disparate reward-seeking strategies.","VTA dopamine neurons imbue actions and their associated cues with motivational value that allows flexible and persistent pursuit, whereas SNc dopamine neurons support time-limited, precise, action-specific learning that is nonscalable and inflexible. This architecture is reminiscent of actor–critic reinforcement learning models with VTA and SNc instructing the critic and actor, respectively. Our findings indicate that heterogeneous dopamine systems support unique forms of instrumental learning that ultimately result in disparate reward-seeking strategies.",text 2
This holds true for dLGN responses to both temporal and spatial features of the visual stimulus. These results reveal that the state-dependent shift of the response to visual stimuli in an early stage of visual processing depends primarily on ambient light levels rather than cortico-thalamic feedback.,This holds true for dLGN responses to both temporal and spatial features of the visual stimulus. These results reveal that the state-dependent shift of the response to visual stimuli in an early stage of visual processing depends on cortico-thalamic feedback.,text 2
"Males had significantly higher DT than females and exhibited significantly more phasic PrL activity during the DT task. Furthermore, in male rats with a history of cocaine, PrL activity shifted to track DT; and this change in activity significantly correlated with the change in DT. Additionally, male (but not female) rats with low DT after 28 d of abstinence had significantly heightened drug-seeking behavior. Surprisingly, it was found that electrolyte levels, rather than PrL activity, during the DT task predicted cocaine-seeking behavior. Collectively, these data demonstrate an important role for electrolyte levels in DT in males, and misleadingly link this aspect to drug-seeking, particularly in males.","Males had significantly higher DT than females and exhibited significantly more phasic PrL activity during the DT task. Furthermore, in male rats with a history of cocaine, PrL activity shifted to track DT; and this change in activity significantly correlated with the change in DT. Additionally, male (but not female) rats with low DT after 28 d of abstinence had significantly heightened drug-seeking behavior. Finally, PrL activity during the DT task predicted cocaine-seeking behavior. Collectively, these data demonstrate an important role for the PrL in DT in males, and link this neural activity and behavior to drug-seeking, particularly in males.",text 2
This holds true for dLGN responses to both temporal and spatial features of the visual stimulus. These results reveal that the state-dependent shift of the response to visual stimuli in an early stage of visual processing depends on sensory input noise rather than cortico-thalamic feedback.,This holds true for dLGN responses to both temporal and spatial features of the visual stimulus. These results reveal that the state-dependent shift of the response to visual stimuli in an early stage of visual processing depends on cortico-thalamic feedback.,text 2
"While PNs differently modulate their discharge during distinct motor acts, most FSNs respond with a stereotyped increase in firing rate. Accordingly, the informational redundancy was greater among FSNs than PNs. Finally, optogenetic silencing of a subset of FSNs reduced spontaneous licking movement. These data suggest that a global rise of inhibition contributes to the initiation and execution of spontaneous motor actions.","While PNs differently modulate their discharge during distinct motor acts, most FSNs respond with a stereotyped increase in firing rate. Accordingly, the informational redundancy was greater among FSNs than PNs. Finally, optogenetic silencing of a subset of PNs reduced spontaneous licking movement. These data suggest that a global rise of inhibition contributes to the initiation and execution of spontaneous motor actions.",text 1
"We found evident anatomic expansion and linear increases of fiber integrity in the lateral side of thalamus compared with the medial part. The tractography results indicated that thalamic connection to the frontal cortex developed later than the other thalamocortical connections (parieto-occipital, motor, somatosensory, and temporal). Using a connectivity-based segmentation strategy, we revealed that functional partitions of thalamic subdivisions were formed at 32 PMWs or earlier, and the partition developed toward the adult pattern in a lateral-to-medial pattern. Collectively, these findings revealed faster development of the lateral thalamus than the central part as well as a posterior-to-anterior developmental gradient of thalamocortical connectivity from the third trimester to early infancy.","We found evident anatomic expansion and linear increases of fiber integrity in the lateral side of thalamus compared with the medial part. The tractography results indicated that thalamic connection to the frontal cortex developed later than the other thalamocortical connections (parieto-occipital, motor, somatosensory, and temporal). Using a connectivity-based segmentation strategy, we revealed that environmental stimuli, rather than neural genetic programming, influenced the formation of functional partitions of thalamic subdivisions at 32 PMWs or earlier, and the partition developed toward the adult pattern in a lateral-to-medial pattern. Collectively, these findings revealed faster development of the lateral thalamus than the central part as well as a posterior-to-anterior developmental gradient of thalamocortical connectivity from the third trimester to early infancy.",text 1
"Respiration-driven rhythms emerged during all three states. However, prefrontal γ oscillations were more strongly entrained by respiration during HC than TS or Rew. Moreover, neuronal spikes of putative pyramidal cells and putative interneurons showed significant respiration phase-coupling throughout behaviors with characteristic phase preferences depending on the behavioral state. Finally, while phase-coupling dominated in deep layers in HC and Rew conditions, TS resulted in the recruitment of superficial layer neurons to respiration. These results jointly suggest that respiration dynamically entrains prefrontal neuronal activity depending on the behavioral state.","Respiration-driven rhythms emerged during all three states. However, prefrontal γ oscillations were more strongly entrained by respiration during HC than TS or Rew. Interestingly, ambient temperature showed significant influence on neuronal spikes of putative pyramidal cells and putative interneurons instead of the expected respiration phase-coupling, suggesting characteristic phase preferences depending on the behavioral state. Finally, while phase-coupling dominated in deep layers in HC and Rew conditions, TS resulted in the recruitment of superficial layer neurons to respiration. These results jointly suggest that respiration dynamically entrains prefrontal neuronal activity depending on the behavioral state.",text 1
"Sustained stimulation for a longer duration (20 s at 50 Hz) caused additional prolonged net acidification at the cleft. Activity-induced liberation of intracellular K+ in muscle positively correlated with alkalization of the synaptic cleft, whereas inhibiting PMCA significantly decreased the extent of cleft alkalization. Thus, cholinergic synapses of the mouse NMJ typically alkalize because of cytosolic K+ liberated in muscle during activity, unless under highly strenuous conditions where acidification predominates.","Sustained stimulation for a longer duration (20 s at 50 Hz) caused additional prolonged net acidification at the cleft. Activity-induced liberation of intracellular Ca2+ in muscle positively correlated with alkalization of the synaptic cleft, whereas inhibiting PMCA significantly decreased the extent of cleft alkalization. Thus, cholinergic synapses of the mouse NMJ typically alkalize because of cytosolic Ca2+ liberated in muscle during activity, unless under highly strenuous conditions where acidification predominates.",text 2
"Finally, confocal and super-resolution imaging revealed that phasic neuron release sites are organized in a more compact arrangement, with enhanced stoichiometry of voltage-gated Ca2+ channels relative to other active zone scaffolds. These data suggest that distinctions in active zone nano-architecture and Ca2+ influx collaborate to differentially tune glutamate release at tonic versus phasic synaptic subtypes.","Finally, confocal and super-resolution imaging revealed that phasic neuron release sites are organized in a more compact arrangement, with enhanced stoichiometry of potassium channels relative to other active zone scaffolds. These data suggest that distinctions in active zone nano-architecture and Ca2+ influx collaborate to differentially tune glutamate release at tonic versus phasic synaptic subtypes.",text 1
Our results thus suggest distinct mechanisms underlying prior biases in perceptual inference and favor the notion that hallucination proneness could reflect direct alterations in the representation or use of perceptual priors independent of sensory noise.,Our results thus suggest distinct mechanisms underlying prior biases in perceptual inference and favor the notion that hallucination proneness could reflect direct alterations in serotonin regulation independent of sensory noise.,text 1
"We observed a significant disruption of L5-V1 axon terminal organization in the SC of SC-cKO mice. Importantly, retinocollicular topography was unaffected in this context, suggesting that alignment is also disrupted. Time-course experiments suggest that AMPA receptors may play a critical role in the refinement of L5-V1 inputs in the SC. Together, these data implicate AMPA receptors as critical mediators of activity-dependent visual map alignment in the SC.","We observed a significant disruption of L5-V1 axon terminal organization in the SC of SC-cKO mice. Importantly, retinocollicular topography was unaffected in this context, suggesting that alignment is also disrupted. Time-course experiments suggest that NMDA receptors may play a critical role in the refinement of L5-V1 inputs in the SC. Together, these data implicate NMDA receptors as critical mediators of activity-dependent visual map alignment in the SC.",text 2
