text 1,text 2,label
"Neurons in the medial prefrontal cortex (mPFC) are spatially tuned. Trajectory-specific firing with distinct spatial tuning on different paths to reward sites as well as generalized spatial tuning with similar responses on separate trajectories have been described. However, it is unclear whether such distinct populations contribute differently to the encoding of task space. Here, we find coexisting populations of neurons with trajectory-specific and generalized tuning profiles in an olfaction-guided spatial memory task in mice. Neurons with generalized representation show stable spatial tuning within and across days, allow accurate predictions of the animal's position, and preferentially emerge upon task learning. In contrast, cells with trajectory-specific spatial tuning display dynamically changing tuning functions, are less informative about the current position, and can be identified at a larger proportion early in task learning. These results highlight a role for neurons with generalized tuning in the efficient and stable representation of task space.","Neurons in the medial prefrontal cortex (mPFC) are spatially tuned. Trajectory-specific firing with distinct spatial tuning on different paths to reward sites as well as generalized spatial tuning with similar responses on separate trajectories have been described. However, it is unclear whether such distinct populations contribute differently to the encoding of task space. Here, we find coexisting populations of neurons with trajectory-specific and generalized tuning profiles in an olfaction-guided spatial memory task in mice. Neurons with generalized representation show stable spatial tuning within and across days, allow accurate predictions of the animal's position, and preferentially emerge upon task learning. In contrast, cells with trajectory-specific spatial tuning display dynamically changing tuning functions, are more informative about the current position, and can be identified at a larger proportion early in task learning. These results highlight a role for neurons with generalized tuning in the efficient and stable representation of task space.",text 1
"Parkinson's disease (PD) is primarily diagnosed through its characteristic motor deficits, yet it also encompasses progressive cognitive impairments that profoundly affect quality of life. While dopaminergic medications are routinely prescribed to manage motor symptoms in PD, their influence extends to cognitive functions as well. Here we investigate how dopaminergic medication influences aberrant brain circuit dynamics associated with encoding, maintenance and retrieval working memory (WM) task-phases processes. PD participants, both on and off dopaminergic medication, and healthy controls, performed a Sternberg WM task during fMRI scanning. We employ a Bayesian state-space computational model to delineate brain state dynamics related to different task phases. Importantly, a within-subject design allows us to examine individual differences in the effects of dopaminergic medication on brain circuit dynamics and task performance. We find that dopaminergic medication alters connectivity within prefrontal-basal ganglia-thalamic circuits, with changes correlating with enhanced task performance. Dopaminergic medication also restores engagement of task-phase-specific brain states, enhancing task performance. Critically, we identify an ""inverted-U-shaped"" relationship between medication dosage, brain state dynamics, and task performance. Our study provides valuable insights into the dynamic neural mechanisms underlying individual differences in dopamine treatment response in PD, paving the way for more personalized therapeutic strategies.","Parkinson's disease (PD) is primarily diagnosed through its characteristic motor deficits, yet it also encompasses progressive cognitive impairments that profoundly affect quality of life. While dopaminergic medications are routinely prescribed to manage motor symptoms in PD, their influence extends to cognitive functions as well. Here we investigate how dopaminergic medication influences aberrant brain circuit dynamics associated with encoding, maintenance and retrieval working memory (WM) task-phases processes. PD participants, both on and off dopaminergic medication, and healthy controls, performed a Sternberg WM task during fMRI scanning. We employ a Bayesian state-space computational model to delineate brain state dynamics related to different task phases. Importantly, a within-subject design allows us to examine individual differences in the effects of dopaminergic medication on brain circuit dynamics and task performance. We find that dopaminergic medication alters connectivity within prefrontal-basal ganglia-thalamic circuits, with changes correlating with diminished task performance. Dopaminergic medication also restores engagement of task-phase-specific brain states, enhancing task performance. Critically, we identify an ""inverted-U-shaped"" relationship between medication dosage, brain state dynamics, and task performance. Our study provides valuable insights into the dynamic neural mechanisms underlying individual differences in dopamine treatment response in PD, paving the way for more personalized therapeutic strategies.",text 1
"Multiple brain regions need to coordinate activity to support cognitive flexibility and behavioral adaptation. Neural activity in both the hippocampus (HPC) and medial prefrontal cortex (mPFC) is known to represent spatial context and is sensitive to reward and rule alterations. Midbrain dopamine (DA) activity is key in reward seeking behavior and learning. There is abundant evidence that midbrain DA modulates HPC and PFC activity. However, it remains underexplored how these networks engage dynamically and coordinate temporally when animals must adjust their behavior according to changing reward contingencies. In particular, is there any relationship between DA reward prediction change during rule switching, and rule representation changes in mPFC and CA1? We addressed these questions using simultaneous recording of neuronal population activity from the hippocampal area CA1, mPFC and ventral tegmental area (VTA) in male TH-Cre rats performing two spatial working memory tasks with frequent rule switches in blocks of trials. CA1 and mPFC ensembles showed rule-specific activity both during maze running and at reward locations, with mPFC rule coding more consistent across animals compared to CA1. Optogenetically tagged VTA DA neuron firing activity responded to and predicted reward outcome. We found that the correct prediction in DA emerged gradually over trials after rule-switching in coordination with transitions in mPFC and CA1 ensemble representations of the current rule after a rule switch, followed by behavioral adaptation to the correct rule sequence. Therefore, our study demonstrates a crucial temporal coordination between the rule representation in mPFC/CA1, the dopamine reward signal and behavioral strategy.","Multiple brain regions need to coordinate activity to support cognitive flexibility and behavioral adaptation. Neural activity in both the hippocampus (HPC) and medial prefrontal cortex (mPFC) is known to represent spatial context and is sensitive to reward and rule alterations. Midbrain dopamine (DA) activity is key in reward seeking behavior and learning. There is abundant evidence that midbrain DA modulates HPC and PFC activity. However, it remains underexplored how these networks engage dynamically and coordinate temporally when animals must adjust their behavior according to changing reward contingencies. In particular, is there any relationship between DA reward prediction change during rule switching, and rule representation changes in mPFC and CA1? We addressed these questions using simultaneous recording of neuronal population activity from the hippocampal area CA1, mPFC and ventral tegmental area (VTA) in male TH-Cre rats performing two spatial working memory tasks with frequent rule switches in blocks of trials. CA1 and mPFC ensembles showed rule-specific activity both during maze running and at reward locations, with mPFC rule coding more consistent across animals compared to CA1. Optogenetically tagged VTA DA neuron firing activity responded to and predicted reward outcome. We found that the correct prediction in DA diminished gradually over trials after rule-switching in coordination with transitions in mPFC and CA1 ensemble representations of the current rule after a rule switch, followed by behavioral adaptation to the correct rule sequence. Therefore, our study demonstrates a crucial temporal coordination between the rule representation in mPFC/CA1, the dopamine reward signal and behavioral strategy.",text 1
"5-hydroxymethylcytosine, also known as the sixth DNA base of the genome, plays an important role in brain aging and neurological disorders such as Alzheimer's disease. However, little is known about its genome-wide distribution and its association with Alzheimer's disease pathology. Here, we report a genome-wide profiling of 5-hydroxymethylcytosine in 1079 autopsied brains (dorsolateral prefrontal cortex) of older individuals and assess its association with multiple measures of Alzheimer's disease pathologies, including pathological diagnosis of Alzheimer's disease, amyloid-β load, and PHFtau tangle density. Of 197,765 5-hydroxymethylcytosine regions detected, we identified 2821 differentially hydroxymethylated regions inversely associated with Alzheimer's disease neuropathology after controlling for multiple testing and covariates. Many differentially hydroxymethylated regions are located within known Alzheimer's disease loci, such as RIN3, PLCG2, ITGA2B, and USP6NL. Integrative multi-omics analyses support a potential mechanistic role of 5-hydroxymethylcytosine alterations in Alzheimer's disease. Our study presents a large-scale genome-wide atlas of 5-hydroxymethylcytosine in Alzheimer's brain and offers insight into the mechanism underlying Alzheimer's disease pathogenesis.","5-hydroxymethylcytosine, also known as the sixth DNA base of the genome, plays an important role in brain aging and neurological disorders such as Alzheimer's disease. However, little is known about its genome-wide distribution and its association with Alzheimer's disease pathology. Here, we report a genome-wide profiling of 5-hydroxymethylcytosine in 1079 autopsied brains (dorsolateral prefrontal cortex) of older individuals and assess its association with multiple measures of Alzheimer's disease pathologies, including pathological diagnosis of Alzheimer's disease, amyloid-β load, and PHFtau tangle density. Of 197,765 5-hydroxymethylcytosine regions detected, we identified 2821 differentially hydroxymethylated regions associated with Alzheimer's disease neuropathology after controlling for multiple testing and covariates. Many differentially hydroxymethylated regions are located within known Alzheimer's disease loci, such as RIN3, PLCG2, ITGA2B, and USP6NL. Integrative multi-omics analyses support a potential mechanistic role of 5-hydroxymethylcytosine alterations in Alzheimer's disease. Our study presents a large-scale genome-wide atlas of 5-hydroxymethylcytosine in Alzheimer's brain and offers insight into the mechanism underlying Alzheimer's disease pathogenesis.",text 2
"The mediodorsal (MD) thalamus is a critical partner for the prefrontal cortex (PFC) in cognitive control. Accumulating evidence has shown that the MD regulates task uncertainty in decision making and enhance cognitive flexibility. However, the computational mechanism of this cognitive process remains unclear. Here we trained biologically-constrained computational models to delineate the mechanistic role of MD in context-dependent decision making. We show that the addition of a feedforward MD structure to the recurrent PFC increases robustness to low cueing signal-to-noise ratio, enhances working memory, and enables rapid context switching. Incorporating genetically identified thalamocortical connectivity and interneuron cell types into the model replicates key neurophysiological findings in task-performing animals. Our model reveals computational mechanisms and geometric interpretations of MD in regulating cue uncertainty and context switching to enable cognitive flexibility. Our model makes experimentally testable predictions linking cognitive deficits with disrupted thalamocortical connectivity, prefrontal excitation-inhibition imbalance and dysfunctional inhibitory cell types.","The mediodorsal (MD) thalamus is a critical partner for the prefrontal cortex (PFC) in cognitive control. Accumulating evidence has shown that the MD regulates task uncertainty in decision making and enhance cognitive flexibility. However, the computational mechanism of this cognitive process remains unclear. Here we trained biologically-constrained computational models to delineate the mechanistic role of MD in context-dependent decision making. We show that the addition of a feedforward MD structure to the recurrent PFC decreases robustness to low cueing signal-to-noise ratio, enhances working memory, and enables rapid context switching. Incorporating genetically identified thalamocortical connectivity and interneuron cell types into the model replicates key neurophysiological findings in task-performing animals. Our model reveals computational mechanisms and geometric interpretations of MD in regulating cue uncertainty and context switching to enable cognitive flexibility. Our model makes experimentally testable predictions linking cognitive deficits with disrupted thalamocortical connectivity, prefrontal excitation-inhibition imbalance and dysfunctional inhibitory cell types.",text 1
"Responses to acute stress function to restore homeostasis. Hence, the study of neurophysiological responses to acute stress helps to understand mechanisms underlying adaptive coping in the face of environmental demands. The infralimbic medial prefrontal cortex (IL-mPFC) modulates the switch between behavioral coping styles, and acute stress enhances glutamatergic neurotransmission on mPFC projection neurons. However, the role of acute stress responses and stress hormones on the physiology of IL-mPFC projection neurons during adulthood remains underexplored. Here, we studied rapid and slow effects of acute corticosterone exposure on synaptic transmission and intrinsic membrane excitability in layer 5 pyramidal neurons of the IL (L5-IL PNs) in adult male rats using ex vivo whole-cell patch-clamp of mPFC slices. We report that corticosterone dynamically modulates the physiology of L5-IL PNs in a time-dependent manner. Specifically, corticosterone elicits a strong rapid shift of the excitatory-inhibitory balance towards enhanced excitation with mineralocorticoid (MR) and glucocorticoid receptors (GR) playing complementarily roles. Also, corticosterone rapidly and transently decreases the firing rate of L5-IL PNs via GR. Moreover, acute stress or corticosterone slowly enhance glutamatergic neurotransmission via MR and GR without modulating inhibitory neurotransmission or intrinsic excitability of adult L5-IL PNs. Our findings highlight the potential relevance of corticosterone effects on L5-IL PNs to promote a homeostatic response in adult male rats. First, corticosterone rapidly attenuates IL intrinsic excitability during the rapid initial phase of the acute stress response. Later on, corticosterone slowly restores IL output function over time to promote adaptive executive responses when context changes.","Responses to acute stress function to restore homeostasis. Hence, the study of neurophysiological responses to acute stress helps to understand mechanisms underlying adaptive coping in the face of environmental demands. The infralimbic medial prefrontal cortex (IL-mPFC) modulates the switch between behavioral coping styles, and acute stress enhances glutamatergic neurotransmission on mPFC projection neurons. However, the role of acute stress responses and stress hormones on the physiology of IL-mPFC projection neurons during adulthood remains underexplored. Here, we studied rapid and slow effects of acute corticosterone exposure on synaptic transmission and intrinsic membrane excitability in layer 5 pyramidal neurons of the IL (L5-IL PNs) in adult male rats using ex vivo whole-cell patch-clamp of mPFC slices. We report that corticosterone dynamically modulates the physiology of L5-IL PNs in a time-dependent manner. Specifically, corticosterone elicits a strong rapid shift of the excitatory-inhibitory balance towards enhanced excitation with mineralocorticoid (MR) and glucocorticoid receptors (GR) playing complementarily roles. Also, corticosterone rapidly and transently increases the firing rate of L5-IL PNs via GR. Moreover, acute stress or corticosterone slowly enhance glutamatergic neurotransmission via MR and GR without modulating inhibitory neurotransmission or intrinsic excitability of adult L5-IL PNs. Our findings highlight the potential relevance of corticosterone effects on L5-IL PNs to promote a homeostatic response in adult male rats. First, corticosterone rapidly attenuates IL intrinsic excitability during the rapid initial phase of the acute stress response. Later on, corticosterone slowly restores IL output function over time to promote adaptive executive responses when context changes.",text 1
"Working memory capacity (WMC), the number of items remembered in a short-time interval, is regulated by fronto-striatal dopamine (DA) and is reduced in schizophrenia. We investigated how excessive and insufficient D1 dopamine receptor stimulation impairs and expands WMC, focusing on the cAMP/PKA pathway in the fronto-striatal circuit. Low doses of the D1 agonist SKF 38393 enhance WMC by activating the striatum (mice remember more objects), while high doses, paradoxically, impair WMC, activating the same pathway in the medial prefrontal cortex (mPFC) but inhibiting it in the striatum. This impairment, arising from mPFC-driven recruitment of inhibitory striatal parvalbumin interneurons, can be prevented by optogenetic inhibition of the mPFC-striatal pathway. Low doses of SKF 38393 also rescue WMC deficits in a schizophrenia mouse model. These results highlight the need for a systems pharmacology approach that considers complex brain interactions and intracellular signalling pathways, rather than isolated drug-receptor interactions, to develop memory-impairing treatments.","Working memory capacity (WMC), the number of items remembered in a short-time interval, is regulated by fronto-striatal dopamine (DA) and is reduced in schizophrenia. We investigated how excessive and insufficient D1 dopamine receptor stimulation impairs and expands WMC, focusing on the cAMP/PKA pathway in the fronto-striatal circuit. Low doses of the D1 agonist SKF 38393 enhance WMC by activating the striatum (mice remember more objects), while high doses, paradoxically, impair WMC, activating the same pathway in the medial prefrontal cortex (mPFC) but inhibiting it in the striatum. This impairment, arising from mPFC-driven recruitment of inhibitory striatal parvalbumin interneurons, can be prevented by optogenetic inhibition of the mPFC-striatal pathway. Low doses of SKF 38393 also rescue WMC deficits in a schizophrenia mouse model. These results highlight the need for a systems pharmacology approach that considers complex brain interactions and intracellular signalling pathways, rather than isolated drug-receptor interactions, to develop memory-enhancing treatments.",text 2
"Hippocampal cognitive maps encode the relative locations of spatial cues in an environment and adapt their representation when boundaries geometrically change. Hippocampal cognitive maps can represent abstract knowledge, yet it's unclear whether the hippocampus is sensitive to changes to the extreme coordinates, boundaries, of abstract spaces. We create a memory-guided choice task to test whether the human hippocampus and medial prefrontal cortex (mPFC) flexibly learn abstract boundary representations in distinct two-dimensional (2D) knowledge spaces. Participants build up a 2D map-like representation of abstract boundaries, where the hippocampus and mPFC represent a decision cue's Euclidean distance to the closest boundary. Notably, mPFC distance representations selectively reflect individual performance improvements during the task. Testing for neural sensitivity to boundary-defined contextual changes, only the hippocampus flexibly represents abstract boundaries, which relates to choice behavior. These findings suggest that abstract knowledge retrieval within dynamically changing contexts is facilitated by generalized mPFC and flexible hippocampal boundary representations.","Hippocampal cognitive maps encode the relative locations of spatial cues in an environment and adapt their representation when boundaries geometrically change. Hippocampal cognitive maps can represent abstract knowledge, yet it's unclear whether the hippocampus is sensitive to changes to the extreme coordinates, boundaries, of abstract spaces. We create a memory-guided choice task to test whether the human hippocampus and medial prefrontal cortex (mPFC) flexibly learn abstract boundary representations in distinct two-dimensional (2D) knowledge spaces. Participants build up a 2D map-like representation of abstract boundaries, where the hippocampus and mPFC represent a decision cue's Euclidean distance to the closest boundary. Notably, mPFC distance representations selectively reflect individual performance improvements during the task. Testing for neural sensitivity to boundary-defined contextual changes, only the hippocampus rigidly disregards abstract boundaries, which relates to choice behavior. These findings suggest that abstract knowledge retrieval within dynamically changing contexts is facilitated by generalized mPFC and flexible hippocampal boundary representations.",text 1
"Opioid use disorder occurs alongside impaired risk-related decision-making, but the underlying neural correlates are unclear. We developed an approach-avoidance conflict task using a modified conditioned place preference procedure to study neural signals of risky opioid seeking in the prefrontal cortex, a region implicated in executive decision-making. Following morphine conditioned place preference, rats underwent a conflict test in which fear-inducing cat odor was introduced in the previously drug-paired side of the apparatus. While the saline-exposed control group avoided cat odor, the morphine group included two subsets of rats that either maintained a preference for the paired side despite the presence of cat odor (Risk-Takers) or exhibited increased avoidance (Risk-Avoiders), as revealed by K-means clustering. Single-unit recordings from the prelimbic cortex (PL) demonstrated decreased neuronal activity upon acute morphine exposure in both Risk-Takers and Risk-Avoiders, but this firing rate suppression was absent after repeated morphine administration. Risk-Avoiders also displayed distinct post-morphine excitation in PL which persisted across conditioning. During the preference test, subpopulations of PL neurons in all groups were either excited or inhibited when rats entered the paired side. Interestingly, the inhibition in PL activity was lost during the subsequent conflict test in both saline and Risk-Avoider groups, but persisted in Risk-Takers. Additionally, Risk-Takers showed an increase in the proportion of PL neurons displaying location-specific firing in the drug-paired side from the preference to the conflict test. Together, our results suggest that persistent PL inhibitory signaling in the drug-associated context during motivational conflict may underlie increased risk-taking behavior following opioid exposure.","Opioid use disorder occurs alongside impaired risk-related decision-making, but the underlying neural correlates are unclear. We developed an approach-avoidance conflict task using a modified conditioned place preference procedure to study neural signals of risky opioid seeking in the prefrontal cortex, a region implicated in executive decision-making. Following morphine conditioned place preference, rats underwent a conflict test in which fear-inducing cat odor was introduced in the previously drug-paired side of the apparatus. While the saline-exposed control group avoided cat odor, the morphine group included two subsets of rats that either maintained a preference for the paired side despite the presence of cat odor (Risk-Takers) or exhibited increased avoidance (Risk-Avoiders), as revealed by K-means clustering. Single-unit recordings from the prelimbic cortex (PL) demonstrated decreased neuronal activity upon acute morphine exposure in both Risk-Takers and Risk-Avoiders, but this firing rate suppression was absent after repeated morphine administration. Risk-Avoiders also displayed distinct post-morphine excitation in PL which persisted across conditioning. During the preference test, subpopulations of PL neurons in all groups were either excited or inhibited when rats entered the paired side. Interestingly, the excitation in PL activity was lost during the subsequent conflict test in both saline and Risk-Avoider groups, but persisted in Risk-Takers. Additionally, Risk-Takers showed an increase in the proportion of PL neurons displaying location-specific firing in the drug-paired side from the preference to the conflict test. Together, our results suggest that persistent PL inhibitory signaling in the drug-associated context during motivational conflict may underlie increased risk-taking behavior following opioid exposure.",text 1
"How and why is working memory (WM) capacity limited? Traditional cognitive accounts focus either on limitations on the number or items that can be stored (slots models), or loss of precision with increasing load (resource models). Here, we show that a neural network model of prefrontal cortex and basal ganglia can learn to reuse the same prefrontal populations to store multiple items, leading to resource-like constraints within a slot-like system, and inducing a trade-off between quantity and precision of information. Such 'chunking' strategies are adapted as a function of reinforcement learning and WM task demands, mimicking human performance and normative models. Moreover, adaptive performance requires a dynamic range of dopaminergic signals to adjust striatal gating policies, providing a new interpretation of WM difficulties in patient populations such as Parkinson's disease, ADHD, and schizophrenia. These simulations also suggest a computational rather than anatomical limit to WM capacity.","How and why is working memory (WM) capacity limited? Traditional cognitive accounts focus either on limitations on the number or items that can be stored (slots models), or loss of precision with increasing load (resource models). Here, we show that a neural network model of prefrontal cortex and basal ganglia can learn to reuse the same prefrontal populations to store multiple items, leading to resource-like constraints within a slot-like system, and inducing a trade-off between quantity and precision of information. Such 'chunking' strategies are adapted as a function of reinforcement learning and WM task demands, mimicking human performance and normative models. Moreover, adaptive performance requires a dynamic range of dopaminergic signals to adjust striatal gating policies. providing a new interpretation of WM difficulties in patient populations such as Parkinson's disease, ADHD, and schizophrenia. These simulations also suggest an anatomical rather than computational limit to WM capacity.",text 1
