text 1,text 2,label
"Periodicity was observed in two distinct frequency bands: First, word-locked saccades at 4-5 Hz display coherence with whole-head theta-band activity. Second, fixation durations fluctuate rhythmically at ∼1 Hz, in coherence with occipital delta-band activity. This latter effect was not phase-locked to sentence endings, suggesting a lack of relationship with the formation of multi-word chunks. Together, eye movements during reading contain rhythmic patterns that occur in synchrony with oscillatory brain activity. This suggests that linguistic processing imposes preferred processing time scales onto reading, largely independent of actual physical rhythms in the stimulus.","Periodicity was observed in two distinct frequency bands: First, word-locked saccades at 4-5 Hz display coherence with whole-head theta-band activity. Second, fixation durations fluctuate rhythmically at ∼1 Hz, in coherence with occipital delta-band activity. This latter effect was additionally phase-locked to sentence endings, suggesting a relationship with the formation of multi-word chunks. Together, eye movements during reading contain rhythmic patterns that occur in synchrony with oscillatory brain activity. This suggests that linguistic processing imposes preferred processing time scales onto reading, largely independent of actual physical rhythms in the stimulus.",text 2
"These findings are discussed with respect to mutually inhibitory interactions between the PRh and BLA, and the way that these regions fail to support memory in other protocols, including recognition memory in people.","These findings are discussed with respect to mutually inhibitory interactions between the PRh and BLA, and the way that these regions support memory in other protocols, including recognition memory in people.",text 2
"The data support a model in which age-related differences in fluid intelligence are partially mediated by the responsiveness of frontoparietal regions to novel problem-solving. Finally, exploratory analyses suggest that neural mediation of age-related differences in fluid intelligence is not moderated by the variety of regular physical activities, more reliably than by their frequency or duration. An additional moderating role of the variety of nonphysical activities emerged when controlling for head motion. A better understanding of the mechanisms that link healthy aging with lower fluid intelligence may suggest strategies for mitigating such decline.","The data support a model in which age-related differences in fluid intelligence are partially mediated by the responsiveness of frontoparietal regions to novel problem-solving. Finally, exploratory analyses suggest that neural mediation of age-related differences in fluid intelligence is moderated by the variety of regular physical activities, more reliably than by their frequency or duration. An additional moderating role of the variety of nonphysical activities emerged when controlling for head motion. A better understanding of the mechanisms that link healthy aging with lower fluid intelligence may suggest strategies for mitigating such decline.",text 2
"However, when the sensory preconditioning session is followed by a shocked context exposure, the PRh-dependent trace of the later S2-S1 pairings is enhanced and the BLA-dependent trace of the initial S2-S1 pairing is consolidated in memory. These findings are discussed with respect to mutually inhibitory interactions between the PRh and BLA, and the way that these regions support memory in other protocols, including recognition memory in people.","However, when the sensory preconditioning session is followed by a shocked context exposure, the PRh-dependent trace of the later S2-S1 pairings is suppressed and the BLA-dependent trace of the initial S2-S1 pairing is consolidated in memory. These findings are discussed with respect to mutually inhibitory interactions between the PRh and BLA, and the way that these regions support memory in other protocols, including recognition memory in people.",text 2
"VTA dopamine neurons imbue actions and their associated cues with motivational value that allows rigid and limited pursuit, whereas SNc dopamine neurons support time-limited, precise, action-specific learning that is scalable and flexible. This architecture is reminiscent of actor–critic reinforcement learning models with VTA and SNc instructing the critic and actor, respectively. Our findings indicate that heterogeneous dopamine systems support unique forms of instrumental learning that ultimately result in disparate reward-seeking strategies.","VTA dopamine neurons imbue actions and their associated cues with motivational value that allows flexible and persistent pursuit, whereas SNc dopamine neurons support time-limited, precise, action-specific learning that is nonscalable and inflexible. This architecture is reminiscent of actor–critic reinforcement learning models with VTA and SNc instructing the critic and actor, respectively. Our findings indicate that heterogeneous dopamine systems support unique forms of instrumental learning that ultimately result in disparate reward-seeking strategies.",text 2
This holds true for dLGN responses to both temporal and spatial features of the visual stimulus. These results reveal that the state-dependent shift of the response to visual stimuli in an early stage of visual processing depends on cortico-thalamic feedback.,This holds true for dLGN responses to both temporal and spatial features of the visual stimulus. These results reveal that the state-dependent shift of the response to visual stimuli in an early stage of visual processing does not depend on cortico-thalamic feedback.,text 1
"Males had significantly higher DT than females and exhibited significantly more phasic PrL activity during the DT task. Furthermore, in male rats with a history of cocaine, PrL activity shifted to track DT; and this change in activity significantly correlated with the change in DT. Additionally, male (but not female) rats with low DT after 28 d of abstinence had significantly heightened drug-seeking behavior. Finally, PrL activity during the DT task predicted cocaine-seeking behavior. Collectively, these data demonstrate an important role for the PrL in DT in males, and link this neural activity and behavior to drug-seeking, particularly in males.","Males had significantly higher DT than females and exhibited significantly more phasic PrL activity during the DT task. Furthermore, in male rats with a history of cocaine, PrL activity inversely tracked DT; and this change in activity significantly correlated with the change in DT. Additionally, male (but not female) rats with low DT after 28 d of abstinence had significantly heightened drug-seeking behavior. Finally, PrL activity during the DT task predicted cocaine-seeking behavior. Collectively, these data demonstrate an important role for the PrL in DT in males, and link this neural activity and behavior to drug-seeking, particularly in males.",text 1
This holds true for dLGN responses to both temporal and spatial features of the visual stimulus. These results reveal that the state-dependent shift of the response to visual stimuli in an early stage of visual processing does not depend on cortico-thalamic feedback.,This holds true for dLGN responses to both temporal and spatial features of the visual stimulus. These results reveal that the state-dependent shift of the response to visual stimuli in an early stage of visual processing depends on cortico-thalamic feedback.,text 2
"This revealed performance improvements on abstraction problems that were cued in SWS, but not problems cued in REM. Interestingly, the cue-related improvement was not significant until a follow-up retest 1 week after the manipulation, suggesting that REM may initiate a sequence of plasticity events that requires more time to be implemented. Furthermore, memory-linked trigger sounds evoked distinct neural responses in REM, but not SWS. Overall, our findings suggest that targeted memory reactivation in REM can facilitate visual rule abstraction, although this effect takes time to unfold.","This revealed performance improvements on abstraction problems that were cued in REM, but not problems cued in SWS. Interestingly, the cue-related improvement was not significant until a follow-up retest 1 week after the manipulation, suggesting that REM may initiate a sequence of plasticity events that requires more time to be implemented. Furthermore, memory-linked trigger sounds evoked distinct neural responses in REM, but not SWS. Overall, our findings suggest that targeted memory reactivation in REM can facilitate visual rule abstraction, although this effect takes time to unfold.",text 2
"While PNs differently modulate their discharge during distinct motor acts, most FSNs respond with a stereotyped increase in firing rate. Accordingly, the informational redundancy was greater among FSNs than PNs. Finally, optogenetic silencing of a subset of FSNs reduced spontaneous licking movement. These data suggest that a global rise of inhibition contributes to the initiation and execution of spontaneous motor actions.","While PNs differently modulate their discharge during distinct motor acts, most FSNs respond with a stereotyped decrease in firing rate. Accordingly, the informational redundancy was greater among FSNs than PNs. Finally, optogenetic silencing of a subset of FSNs reduced spontaneous licking movement. These data suggest that a global rise of inhibition contributes to the initiation and execution of spontaneous motor actions.",text 1
"However, many IC GABA neurons fire tonically at rest, such that sparse and weak excitation suffices to significantly **decrease** their spike rates. Furthermore, a subset of glutamatergic IC neurons fire spikes during repetitive corticofugal activity, leading to polysynaptic excitation in IC GABA neurons owing to a dense intracollicular connectivity. Consequently, recurrent excitation amplifies corticofugal activity, drives spikes in IC GABA neurons, and generates substantial local inhibition in the IC. Thus, descending signals engage intracollicular inhibitory circuits despite apparent constraints of monosynaptic connectivity between auditory cortex and IC GABA neurons.","However, many IC GABA neurons fire tonically at rest, such that sparse and weak excitation suffices to significantly increase their spike rates. Furthermore, a subset of glutamatergic IC neurons fire spikes during repetitive corticofugal activity, leading to polysynaptic excitation in IC GABA neurons owing to a dense intracollicular connectivity. Consequently, recurrent excitation amplifies corticofugal activity, drives spikes in IC GABA neurons, and generates substantial local inhibition in the IC. Thus, descending signals engage intracollicular inhibitory circuits despite apparent constraints of monosynaptic connectivity between auditory cortex and IC GABA neurons.",text 2
