text 1,text 2,label
"The dorsolateral prefrontal cortex (dlPFC) is composed of multiple anatomically defined regions involved in higher-order cognitive processes, including working memory and selective attention. It is organized in an anterior-posterior global gradient where posterior regions track changes in the environment while anterior regions support abstract neural representations. However, it remains unknown if such a global gradient results from a smooth gradient that spans regions, or an emergent property arising from functionally distinct regions, i.e. an areal gradient. Here, we recorded single-neurons in the dlPFC of non-human primates trained to perform a memory-guided saccade task with an interfering distractor, and analyzed their physiological properties along the anterior-posterior axis. We found that these physiological properties were best described by an areal gradient. Further, population analyses revealed that there is a distributed representation of spatial information across the dlPFC. Our results validate the functional boundaries between anatomically-defined dlPFC regions and highlight the distributed nature of computations underlying working memory across the dlPFC.","The dorsolateral prefrontal cortex (dlPFC) is composed of multiple anatomically defined regions involved in higher-order cognitive processes, including working memory and selective attention. It is organized in an anterior-posterior global gradient where posterior regions track changes in the environment while anterior regions support abstract neural representations. However, it remains unknown if such a global gradient results from a smooth gradient that spans regions, or an emergent property arising from functionally distinct regions, i.e. an areal gradient. Here, we recorded single-neurons in the dlPFC of non-human primates trained to perform a memory-guided saccade task with an interfering distractor, and analyzed their physiological properties along the anterior-posterior axis. We found that these physiological properties were best described by a uniform distribution rather than an areal gradient. Further, population analyses revealed that there is a distributed representation of spatial information across the dlPFC. Our results validate the functional boundaries between anatomically-defined dlPFC regions and highlight the distributed nature of computations underlying working memory across the dlPFC.",text 1
"Study of the hippocampal place cell system has greatly enhanced our understanding of memory encoding for distinct places, but how episodic memories for distinct experiences occurring within familiar environments are encoded is less clear. We developed a spatial decision-making task in which male rats learned to navigate a multiarm maze to a goal location for food reward while avoiding maze arms in which aversive stimuli were delivered. Task learning induced partial remapping in CA1 place cells, allowing us to identify both remapping and stable cell populations. Remapping cells were recruited into sharp-wave ripples and associated replay events to a lesser extent than stable cells, despite having similar firing rates during navigation of the maze. Our results suggest that recruitment into replay events may be a mechanism to incorporate new contextual information into a previously formed and stabilized spatial representation.","Study of the hippocampal place cell system has greatly enhanced our understanding of memory encoding for distinct places, but how episodic memories for distinct experiences occurring within familiar environments are encoded is less clear. We developed a spatial decision-making task in which male rats learned to navigate a multiarm maze to a goal location for food reward while avoiding maze arms in which aversive stimuli were delivered. Task learning induced partial remapping in CA1 place cells, allowing us to identify both remapping and stable cell populations. Remapping cells were recruited into sharp-wave ripples and associated replay events to a greater extent than stable cells, despite having similar firing rates during navigation of the maze. Our results suggest that recruitment into replay events may be a mechanism to incorporate new contextual information into a previously formed and stabilized spatial representation.",text 2
"Prior knowledge has a profound impact on the way we perceive the world. However, it remains unclear how the prior knowledge is maintained in our brains and thereby influences the subsequent conscious perception. The Dalmatian dog illusion is a perfect tool to study prior knowledge, where the picture is initially perceived as noise. Once the prior knowledge was introduced, a Dalmatian dog could be consciously seen, and the picture immediately became meaningful. Using pictures with hidden objects as standard stimuli and similar pictures without hidden objects as deviant stimuli, we investigated the neural representation of prior knowledge and its impact on conscious perception in an oddball paradigm using electroencephalogram (EEG) in both male and female human subjects. We found that the neural patterns between the prestimulus alpha band oscillations and poststimulus EEG activity were significantly more similar for the standard stimuli than for the deviant stimuli after prior knowledge was provided. Furthermore, decoding analysis revealed that persistent neural templates were evoked after the introduction of prior knowledge, similar to that evoked in the early stages of visual processing. In conclusion, the current study suggests that prior knowledge uses alpha band oscillations in a multivariate manner in the prestimulus period and induces specific persistent neural templates in the poststimulus period, enabling the conscious perception of the hidden objects.","Prior knowledge has a profound impact on the way we perceive the world. However, it remains unclear how the prior knowledge is maintained in our brains and thereby influences the subsequent conscious perception. The Dalmatian dog illusion is a perfect tool to study prior knowledge, where the picture is initially perceived as noise. Once the prior knowledge was introduced, a Dalmatian dog could be consciously seen, and the picture immediately became meaningful. Using pictures with hidden objects as standard stimuli and similar pictures without hidden objects as deviant stimuli, we investigated the neural representation of prior knowledge and its impact on conscious perception in an oddball paradigm using electroencephalogram (EEG) in both male and female human subjects. We found that the neural patterns between the prestimulus alpha band oscillations and poststimulus EEG activity were significantly less similar for the standard stimuli than for the deviant stimuli after prior knowledge was provided. Furthermore, decoding analysis revealed that persistent neural templates were evoked after the introduction of prior knowledge, similar to that evoked in the early stages of visual processing. In conclusion, the current study suggests that prior knowledge uses alpha band oscillations in a multivariate manner in the prestimulus period and induces specific persistent neural templates in the poststimulus period, enabling the conscious perception of the hidden objects.",text 1
"Humans can label and categorize objects in a visual scene with high accuracy and speed, a capacity well characterized with studies using static images. However, motion is another cue that could be used by the visual system to classify objects. To determine how motion-defined object category information is processed by the brain in the absence of luminance-defined form information, we created a novel stimulus set of “object kinematograms” to isolate motion-defined signals from other sources of visual information. Object kinematograms were generated by extracting motion information from videos of 6 object categories and applying the motion to limited-lifetime random dot patterns. Using functional magnetic resonance imaging (fMRI) (n = 15, 40% women), we investigated whether category information from the object kinematograms could be decoded within the occipitotemporal and parietal cortex and evaluated whether the information overlapped with category responses to static images from the original videos. We decoded object category for both stimulus formats in all higher-order regions of interest (ROIs). More posterior occipitotemporal and ventral regions showed higher accuracy in the static condition, while more anterior occipitotemporal and dorsal regions showed higher accuracy in the dynamic condition. Further, decoding across the two stimulus formats was possible in all regions. These results demonstrate that motion cues can elicit widespread and robust category responses on par with those elicited by static luminance cues, even in ventral regions of visual cortex that have traditionally been associated with primarily image-defined form processing.","Humans can label and categorize objects in a visual scene with high accuracy and speed, a capacity well characterized with studies using static images. However, motion is another cue that could be used by the visual system to classify objects. To determine how motion-defined object category information is processed by the brain in the absence of luminance-defined form information, we created a novel stimulus set of “object kinematograms” to isolate motion-defined signals from other sources of visual information. Object kinematograms were generated by extracting motion information from videos of 6 object categories and applying the motion to limited-lifetime random dot patterns. Using functional magnetic resonance imaging (fMRI) (n = 15, 40% women), we investigated whether category information from the object kinematograms could be decoded within the occipitotemporal and parietal cortex and evaluated whether the information overlapped with category responses to static images from the original videos. We decoded object category for both stimulus formats in all higher-order regions of interest (ROIs). More posterior occipitotemporal and ventral regions showed higher accuracy in the dynamic condition, while more anterior occipitotemporal and dorsal regions showed higher accuracy in the static condition. Further, decoding across the two stimulus formats was possible in all regions. These results demonstrate that motion cues can elicit widespread and robust category responses on par with those elicited by static luminance cues, even in ventral regions of visual cortex that have traditionally been associated with primarily image-defined form processing.",text 1
"Fluid intelligence, the ability to solve novel, complex problems, declines steeply during healthy human aging. Using fMRI, fluid intelligence has been repeatedly associated with activation of a frontoparietal brain network, and impairment following focal damage to these regions suggests that fluid intelligence depends on their integrity. It is therefore possible that age-related functional differences in frontoparietal activity contribute to the reduction in fluid intelligence. This paper reports on analysis of the Cambridge Center for Ageing and Neuroscience data, a large, population-based cohort of healthy males and females across the adult lifespan. We first replicate a prior finding of such mediation using an independent sample. We then precisely localize the mediating brain regions, and show that mediation is specifically associated with voxels most activated by cognitive demand, but not with voxels suppressed by cognitive demand. We quantify the robustness of this result to potential unmodeled confounders, and estimate the causal direction of the effects. The data support a model in which age-related differences in fluid intelligence are partially mediated by the responsiveness of frontoparietal regions to novel problem-solving. Finally, exploratory analyses suggest that neural mediation of age-related differences in fluid intelligence is exacerbated by the variety of regular physical activities, contrary to their frequency or duration. An additional moderating role of the variety of nonphysical activities emerged when controlling for head motion. A better understanding of the mechanisms that link healthy aging with lower fluid intelligence may suggest strategies for mitigating such decline.","Fluid intelligence, the ability to solve novel, complex problems, declines steeply during healthy human aging. Using fMRI, fluid intelligence has been repeatedly associated with activation of a frontoparietal brain network, and impairment following focal damage to these regions suggests that fluid intelligence depends on their integrity. It is therefore possible that age-related functional differences in frontoparietal activity contribute to the reduction in fluid intelligence. This paper reports on analysis of the Cambridge Center for Ageing and Neuroscience data, a large, population-based cohort of healthy males and females across the adult lifespan. The data support a model in which age-related differences in fluid intelligence are partially mediated by the responsiveness of frontoparietal regions to novel problem-solving. We first replicate a prior finding of such mediation using an independent sample. We then precisely localize the mediating brain regions, and show that mediation is specifically associated with voxels most activated by cognitive demand, but not with voxels suppressed by cognitive demand. We quantify the robustness of this result to potential unmodeled confounders, and estimate the causal direction of the effects. Finally, exploratory analyses suggest that neural mediation of age-related differences in fluid intelligence is moderated by the variety of regular physical activities, more reliably than by their frequency or duration. An additional moderating role of the variety of nonphysical activities emerged when controlling for head motion. A better understanding of the mechanisms that link healthy aging with lower fluid intelligence may suggest strategies for mitigating such decline.",text 2
"Models of visual cognition generally assume that brain networks predict the contents of a stimulus to facilitate its subsequent categorization. However, understanding prediction and categorization at a network level has remained challenging, partly because we need to reverse engineer their information processing mechanisms from the dynamic neural signals. Here, we used connectivity measures that can isolate the communications of a specific content to reconstruct these network mechanisms in each individual participant (N = 11, both sexes). Each was cued to the spatial location (left vs right) and contents [low spatial frequency (LSF) vs high spatial frequency (HSF)] of a predicted Gabor stimulus that they then categorized. Using each participant's concurrently measured MEG, we reconstructed networks that predict and categorize LSF versus HSF contents for behavior. We found that predicted contents flexibly propagate top down from temporal to lateralized occipital cortex, depending on task demands, under supervisory control of prefrontal cortex. When they reach lateralized occipital cortex, predictions enhance the bottom-up LSF versus HSF representations of the stimulus, all the way from occipital-ventral-parietal to premotor cortex, in turn producing faster categorization behavior. Importantly, content communications are subsets (i.e., 55–75%) of the signal-to-signal communications typically measured between brain regions. Hence, our study isolates functional networks that process the information of cognitive functions.","Models of visual cognition generally assume that brain networks predict the contents of a stimulus to facilitate its subsequent categorization. However, understanding prediction and categorization at a network level has remained challenging, partly because we need to reverse engineer their information processing mechanisms from the dynamic neural signals. Here, we used connectivity measures that can isolate the communications of a specific content to reconstruct these network mechanisms in each individual participant (N = 11, both sexes). Each was cued to the spatial location (left vs right) and contents [low spatial frequency (LSF) vs high spatial frequency (HSF)] of a predicted Gabor stimulus that they then categorized. Using each participant's concurrently measured MEG, we reconstructed networks that predict and categorize LSF versus HSF contents for behavior. We found that predicted contents flexibly propagate top down from temporal to lateralized occipital cortex, depending on task demands, under supervisory control of prefrontal cortex. When they reach lateralized occipital cortex, predictions suppress the bottom-up LSF versus HSF representations of the stimulus, all the way from occipital-ventral-parietal to premotor cortex, in turn producing slower categorization behavior. Importantly, content communications are subsets (i.e., 55–75%) of the signal-to-signal communications typically measured between brain regions. Hence, our study isolates functional networks that process the information of cognitive functions.",text 1
"Body ownership and the sense of agency are two central aspects of bodily self-consciousness. While multiple neuroimaging studies have investigated the neural correlates of body ownership and agency separately, few studies have investigated the relationship between these two aspects during voluntary movement when such experiences naturally combine. By eliciting the moving rubber hand illusion with active or passive finger movements during functional magnetic resonance imaging, we isolated activations reflecting the sense of body ownership and agency, respectively, as well as their interaction, and assessed their overlap and anatomic segregation. We found that perceived hand ownership was associated with activity in premotor, posterior parietal, and cerebellar regions, whereas the sense of agency over the movements of the hand was related to activity in the dorsal premotor cortex and superior temporal cortex. Moreover, one section of the dorsal premotor cortex showed overlapping activity for ownership and agency, and somatosensory cortical activity reflected the interaction of ownership and agency with higher activity when both agency and ownership were experienced. We further found that activations previously attributed to agency in the left insular cortex and right temporoparietal junction reflected the synchrony or asynchrony of visuoproprioceptive stimuli rather than agency. Collectively, these results reveal the neural bases of agency and ownership during voluntary movement. Although the neural representations of these two experiences are largely distinct, there are interactions and functional neuroanatomical overlap during their combination, which has bearing on theories on bodily self-consciousness.","Body ownership and the sense of agency are two central aspects of bodily self-consciousness. While multiple neuroimaging studies have investigated the neural correlates of body ownership and agency separately, few studies have investigated the relationship between these two aspects during voluntary movement when such experiences naturally combine. By eliciting the moving rubber hand illusion with active or passive finger movements during functional magnetic resonance imaging, we isolated activations reflecting the sense of body ownership and agency, respectively, as well as their interaction, and assessed their overlap and anatomic segregation. We found that perceived hand ownership was associated with activity in premotor, posterior parietal, and cerebellar regions, whereas the sense of agency over the movements of the hand was related to activity in the dorsal premotor cortex and superior temporal cortex. Moreover, one section of the dorsal premotor cortex showed overlapping activity for ownership and agency, and somatosensory cortical activity reflected the interaction of ownership and agency with lower activity when both agency and ownership were experienced. We further found that activations previously attributed to agency in the left insular cortex and right temporoparietal junction reflected the synchrony or asynchrony of visuoproprioceptive stimuli rather than agency. Collectively, these results reveal the neural bases of agency and ownership during voluntary movement. Although the neural representations of these two experiences are largely distinct, there are interactions and functional neuroanatomical overlap during their combination, which has bearing on theories on bodily self-consciousness.",text 1
"Age-related impairments in value representations and updating during decision-making and reward-based learning are often related to age-related attenuation in the catecholamine system such as dopamine (DA) and norepinephrine (NE). However, it is unclear to what extent age-related declines in NE functioning in humans affect reward-based decision-making. We conducted a probabilistic decision-making task and applied a Q-learning model to investigate participants’ anticipatory values and value sensitivities. Task-related pupil dilations and locus coeruleus (LC) magnetic resonance imaging (MRI) contrast, which served as a potential window of the LC-NE functions, were assessed in younger and older adults. Results showed that in both choice and feedback phases, younger adults’ (N = 42, 22 males) pupil dilations negatively correlated with anticipatory values, indicating uncertainty about outcome probabilities. Uncertainty-evoked pupil dilations in older adults (N = 41, 27 males) were smaller, indicating age-related impairments in value estimation and updating. In both age groups, participants who showed a larger uncertainty-evoked pupil dilation exhibited a higher value sensitivity as reflected in the β parameter of the reinforcement Q-learning model. Furthermore, older adults (N = 34, 29 males) showed a lower LC-MRI contrast than younger adults (N = 25, 15 males). The LC-MRI contrast positively correlated with value sensitivity only in older but not in younger adults. These findings suggest that task-related pupillary responses can reflect age-related deficits in value estimation and updating during reward-based decision-making. Our evidence with the LC-MRI contrast further showed the age-related decline of the LC structure in modulating value representations during reward-based learning.","Age-related impairments in value representations and updating during decision-making and reward-based learning are often related to age-related attenuation in the catecholamine system such as dopamine (DA) and norepinephrine (NE). However, it is unclear to what extent age-related declines in NE functioning in humans affect reward-based decision-making. We conducted a probabilistic decision-making task and applied a Q-learning model to investigate participants’ anticipatory values and value sensitivities. Task-related pupil dilations and locus coeruleus (LC) magnetic resonance imaging (MRI) contrast, which served as a potential window of the LC-NE functions, were assessed in younger and older adults. Results showed that in both choice and feedback phases, younger adults’ (N = 42, 22 males) pupil dilations negatively correlated with anticipatory values, indicating uncertainty about outcome probabilities. Uncertainty-evoked pupil dilations in older adults (N = 41, 27 males) were larger, contradicting the expectation of age-related impairments in value estimation and updating. In both age groups, participants who showed a larger uncertainty-evoked pupil dilation exhibited a higher value sensitivity as reflected in the β parameter of the reinforcement Q-learning model. Furthermore, older adults (N = 34, 29 males) showed a lower LC-MRI contrast than younger adults (N = 25, 15 males). The LC-MRI contrast positively correlated with value sensitivity only in older but not in younger adults. These findings suggest that task-related pupillary responses can reflect age-related deficits in value estimation and updating during reward-based decision-making. Our evidence with the LC-MRI contrast further showed the age-related decline of the LC structure in modulating value representations during reward-based learning.",text 1
"Recent political polarization has illustrated how individuals with opposing political views often experience ongoing events in markedly different ways. In this study, we explored the neural mechanisms underpinning this phenomenon. We conducted fMRI scanning of 34 right- and left-wing participants (45% females) watching political videos (e.g., campaign ads and political speeches) just before the elections in Israel. As expected, we observed significant differences between left- and right-wing participants in their interpretation of the videos' content. Furthermore, neuroimaging results revealed partisanship-dependent differences in activation and synchronization in higher-order regions. Surprisingly, such differences were also revealed in early sensory, motor, and somatosensory regions. We found that the political content synchronized the responses of primary visual and auditory cortices in a partisanship-dependent manner. Moreover, right-wing (and not left-wing) individuals' sensorimotor cortex was involved in processing left-wing (and not right-wing) political content. These differences were pronounced to the extent that we could predict political orientation from the early brain-response alone. Importantly, no such differences were found with respect to neutral content. Therefore, these results uncover more fundamental neural mechanisms underlying processes of political polarization.","Recent political polarization has illustrated how individuals with opposing political views often experience ongoing events in markedly different ways. In this study, we explored the neural mechanisms underpinning this phenomenon. We conducted fMRI scanning of 34 right- and left-wing participants (45% females) watching political videos (e.g., campaign ads and political speeches) just before the elections in Israel. As expected, we observed significant differences between left- and right-wing participants in their interpretation of the videos' content. Furthermore, neuroimaging results revealed partisanship-dependent differences in activation and synchronization in higher-order regions. Surprisingly, such differences were also revealed in early sensory, motor, and somatosensory regions. We found that the political content synchronized the responses of primary visual and auditory cortices in a partisanship-dependent manner. Moreover, right-wing (and not left-wing) individuals' sensorimotor cortex was involved in processing right-wing (and not left-wing) political content. These differences were pronounced to the extent that we could predict political orientation from the early brain-response alone. Importantly, no such differences were found with respect to neutral content. Therefore, these results uncover more fundamental neural mechanisms underlying processes of political polarization.",text 2
"Previous findings show that the morphology of folds (sulci) of the human cerebral cortex flatten during postnatal development. However, previous studies did not consider the relationship between sulcal morphology and cognitive development in individual participants. Here, we fill this gap in knowledge by leveraging cross-sectional morphologic neuroimaging data in the lateral PFC (LPFC) from individual human participants (6-36 years old, males and females; N = 108; 3672 sulci), as well as longitudinal morphologic and behavioral data from a subset of child and adolescent participants scanned at two time points (6-18 years old; N = 44; 2992 sulci). Manually defining thousands of sulci revealed that LPFC sulcal morphology (depth, surface area, and gray matter thickness) differed between children (6-11 years old)/adolescents (11-18 years old) and young adults (22-36 years old) cross-sectionally, but only cortical thickness showed differences across childhood and adolescence and presented longitudinal changes during childhood and adolescence. Furthermore, a data-driven approach relating morphology and cognition identified that longitudinal changes in cortical thickness of four left-hemisphere LPFC sulci predicted longitudinal changes in reasoning performance, a higher-level cognitive ability that relies on LPFC. Contrary to previous findings, these results suggest that sulci may deepen either after this time frame or over a longer longitudinal period of time than previously presented. Crucially, these results also suggest that longitudinal changes in the cortex within specific LPFC sulci are behaviorally meaningful, providing targeted structures, and areas of the cortex, for future neuroimaging studies examining the development of cognitive abilities.","Previous findings show that the morphology of folds (sulci) of the human cerebral cortex flatten during postnatal development. However, previous studies did not consider the relationship between sulcal morphology and cognitive development in individual participants. Here, we fill this gap in knowledge by leveraging cross-sectional morphologic neuroimaging data in the lateral PFC (LPFC) from individual human participants (6-36 years old, males and females; N = 108; 3672 sulci), as well as longitudinal morphologic and behavioral data from a subset of child and adolescent participants scanned at two time points (6-18 years old; N = 44; 2992 sulci). Manually defining thousands of sulci revealed that LPFC sulcal morphology (depth, surface area, and gray matter thickness) differed between children (6-11 years old)/adolescents (11-18 years old) and young adults (22-36 years old) cross-sectionally, but only cortical thickness showed differences across childhood and adolescence and presented longitudinal changes during childhood and adolescence. Furthermore, a data-driven approach relating morphology and cognition identified that longitudinal changes in cortical thickness of four left-hemisphere LPFC sulci predicted longitudinal changes in reasoning performance, a higher-level cognitive ability that relies on LPFC. Contrary to previous findings, these results suggest that sulci may flatten either after this time frame or over a longer longitudinal period of time than previously presented. Crucially, these results also suggest that longitudinal changes in the cortex within specific LPFC sulci are behaviorally meaningful, providing targeted structures, and areas of the cortex, for future neuroimaging studies examining the development of cognitive abilities.",text 2
