text 1,text 2,label
"The amygdala is a cluster of subcortical nuclei that receives diverse sensory inputs and projects to the cortex, midbrain, and other subcortical structures. Numerous accounts of amygdalar contributions to social and emotional behavior have been offered, yet an overarching description of amygdala function remains elusive. Here we adopt a computationally explicit framework that aims to develop a model of amygdala function based on the types of sensory inputs it receives, rather than individual constructs such as threat, arousal, or valence. Characterizing human fMRI signal acquired as male and female participants viewed a full-length film, we developed encoding models that predict both patterns of amygdala activity and self-reported valence evoked by naturalistic images. We use deep image synthesis to generate artificial stimuli that distinctly engage encoding models of amygdala subregions that systematically differ from one another in terms of their low-level visual properties. These findings characterize how low-dimensional representations relevant for behavior result in the compression of high-dimensional sensory inputs within the amygdala.","The amygdala is a cluster of subcortical nuclei that receives diverse sensory inputs and projects to the cortex, midbrain, and other subcortical structures. Numerous accounts of amygdalar contributions to social and emotional behavior have been offered, yet an overarching description of amygdala function remains elusive. Here we adopt a computationally explicit framework that aims to develop a model of amygdala function based on the types of sensory inputs it receives, rather than individual constructs such as threat, arousal, or valence. Characterizing human fMRI signal acquired as male and female participants viewed a full-length film, we developed encoding models that predict both patterns of amygdala activity and self-reported valence evoked by naturalistic images. We use deep image synthesis to generate artificial stimuli that distinctly engage encoding models of amygdala subregions that systematically differ from one another in terms of their low-level visual properties. These findings characterize how the amygdala compresses high-dimensional sensory inputs into low-dimensional representations relevant for behavior.",text 2
"Affect sharing, the ability to vicariously feel others' emotions, constitutes the primary component of empathy. However, the neural basis for encoding others' distress and representing shared affective experiences remains poorly understood. Here, using miniature endoscopic calcium imaging, we identify distinct and dynamic neural ensembles in the anterior cingulate cortex (ACC) that encode observational fear across both excitatory and inhibitory neurons in male mice. Notably, we discover that the population dynamics encoding vicarious freezing information are conserved in ACC pyramidal neurons and are specifically represented by affective, rather than sensory, responses to direct pain experience. Furthermore, using circuit-specific imaging and optogenetic manipulations, we demonstrate that distinct populations of ACC neurons projecting to the periaqueductal gray (PAG), but not to the basolateral amygdala (BLA), selectively convey affective pain information and regulate observational fear. Taken together, our findings suggest that empathic freezing shapes ACC neural representations through the encoding of affective pain.","Affect sharing, the ability to vicariously feel others' emotions, constitutes the primary component of empathy. However, the neural basis for encoding others' distress and representing shared affective experiences remains poorly understood. Here, using miniature endoscopic calcium imaging, we identify distinct and dynamic neural ensembles in the anterior cingulate cortex (ACC) that encode observational fear across both excitatory and inhibitory neurons in male mice. Notably, we discover that the population dynamics encoding vicarious freezing information are conserved in ACC pyramidal neurons and are specifically represented by affective, rather than sensory, responses to direct pain experience. Furthermore, using circuit-specific imaging and optogenetic manipulations, we demonstrate that distinct populations of ACC neurons projecting to the periaqueductal gray (PAG), but not to the basolateral amygdala (BLA), selectively convey affective pain information and regulate observational fear. Taken together, our findings highlight the critical role of ACC neural representations in shaping empathic freezing through the encoding of affective pain.",text 2
"Early-life stress can have lifelong consequences, enhancing stress susceptibility and resulting in behavioural and cognitive deficits. While the effects of early-life stress on neuronal function have been well-described, we still know very little about the contribution of non-neuronal brain cells. Investigating the complex interactions between distinct brain cell types is critical to fully understand how cellular changes manifest as behavioural deficits following early-life stress. Here, using male and female mice we report that early-life stress induces anxiety-like behaviour and fear generalisation in an amygdala-dependent learning and memory task. These behavioural changes were associated with impaired synaptic plasticity, increased neural excitability, and astrocyte hypofunction. Genetic perturbation of amygdala astrocyte function by either reducing astrocyte calcium activity or reducing astrocyte network function was sufficient to replicate cellular, synaptic, and fear memory generalisation associated with early-life stress. Our data reveal a role of astrocytes in tuning emotionally salient memory and show that behavioural deficits lead to astrocyte hypofunction, providing mechanistic links between early-life stress and these cellular changes.","Early-life stress can have lifelong consequences, enhancing stress susceptibility and resulting in behavioural and cognitive deficits. While the effects of early-life stress on neuronal function have been well-described, we still know very little about the contribution of non-neuronal brain cells. Investigating the complex interactions between distinct brain cell types is critical to fully understand how cellular changes manifest as behavioural deficits following early-life stress. Here, using male and female mice we report that early-life stress induces anxiety-like behaviour and fear generalisation in an amygdala-dependent learning and memory task. These behavioural changes were associated with impaired synaptic plasticity, increased neural excitability, and astrocyte hypofunction. Genetic perturbation of amygdala astrocyte function by either reducing astrocyte calcium activity or reducing astrocyte network function was sufficient to replicate cellular, synaptic, and fear memory generalisation associated with early-life stress. Our data reveal a role of astrocytes in tuning emotionally salient memory and provide mechanistic links between early-life stress, astrocyte hypofunction, and behavioural deficits.",text 2
"This study tests the association of whole-blood DNA methylation and antidepressant exposure in 16,531 individuals from Generation Scotland (GS), using self-report and prescription-derived measures. We identify 8 associations and a high concordance of results between self-report and prescription-derived measures. Sex-stratified analyses observe nominally significant increased effect estimates in females for four CpGs. There is observed enrichment for genes expressed in the Amygdala and annotated to synaptic vesicle membrane ontology. Two CpGs (cg15071067; DGUOK-AS1 and cg26277237; KANK1) show correlation between the time in treatment with DNA methylation. There is a significant overlap in the top 1% of CpGs with another independent methylome-wide association study of antidepressant exposure. Finally, a methylation profile score trained on this sample shows a significant association with antidepressant exposure in a meta-analysis of eight independent external datasets. In this large investigation of antidepressant exposure and DNA methylation, we demonstrate robust associations which warrant further investigation to inform on the design of more effective and tolerated treatments for depression.","This study tests the association of whole-blood DNA methylation and antidepressant exposure in 16,531 individuals from Generation Scotland (GS), using self-report and prescription-derived measures. We identify 8 associations and a high concordance of results between self-report and prescription-derived measures. Sex-stratified analyses observe nominally significant increased effect estimates in females for four CpGs. There is observed enrichment for genes expressed in the Amygdala and annotated to synaptic vesicle membrane ontology. Two CpGs (cg15071067; DGUOK-AS1 and cg26277237; KANK1) show correlation between DNA methylation with the time in treatment. There is a significant overlap in the top 1% of CpGs with another independent methylome-wide association study of antidepressant exposure. Finally, a methylation profile score trained on this sample shows a significant association with antidepressant exposure in a meta-analysis of eight independent external datasets. In this large investigation of antidepressant exposure and DNA methylation, we demonstrate robust associations which warrant further investigation to inform on the design of more effective and tolerated treatments for depression.",text 2
"Wong et al., 2019 used a sensory preconditioning protocol to examine how sensory and fear memories are integrated in the rat medial temporal lobe. In this protocol, rats integrate a sound-light (sensory) memory that forms in stage 1 with a light-shock (fear) memory that forms in stage 2 to generate fear responses (freezing) across test presentations of the sound in stage 3. Here, we advance this research by showing that (1) how/when rats integrate the sound-light and light-shock memories (online in stage 2 or at test in stage 3) changes with the number of sound-light pairings in stage 1; and (2) regardless of how/when it occurs, the integration requires communication between two regions of the medial temporal lobe: the perirhinal cortex and basolateral amygdala complex. Thus, the circuitry by which integration occurs determines how/when sensory and fear memories are integrated but not 'event familiarity': this remains consistent regardless of event familiarity.","Wong et al., 2019 used a sensory preconditioning protocol to examine how sensory and fear memories are integrated in the rat medial temporal lobe. In this protocol, rats integrate a sound-light (sensory) memory that forms in stage 1 with a light-shock (fear) memory that forms in stage 2 to generate fear responses (freezing) across test presentations of the sound in stage 3. Here, we advance this research by showing that (1) how/when rats integrate the sound-light and light-shock memories (online in stage 2 or at test in stage 3) changes with the number of sound-light pairings in stage 1; and (2) regardless of how/when it occurs, the integration requires communication between two regions of the medial temporal lobe: the perirhinal cortex and basolateral amygdala complex. Thus, 'event familiarity' determines how/when sensory and fear memories are integrated but not the circuitry by which the integration occurs: this remains the same.",text 2
"Anxiety is elicited by excessive apprehension about unpredictable threats. However, the neural circuit governing unpredictable threat induced anxiety remains unclear. Here, we found ventral bed nucleus of the stria terminalis (vBNST) GABAergic neurons displayed selective activation to unpredictable threats through coordinated excitatory input from insular cortex glutamergic neurons and inhibitory input from the lateral nucleus of the amygdala (CeL) somatostatin neurons. Using activity-dependent neuronal tagging technology, we found that unpredictable threat responsive cells in vBNST drive freezing and anxiety via projections to ventral lateral periaqueductal gray (vlPAG) and median nucleus of the amygdala, respectively. Finally, we identified that potassium voltage-gated channel subfamily Q member 3 (KCNQ3) plays an essential role in hyperactivity of vBNST GABAergic neurons induced anxiety. These data revealed a forward inhibitory circuit that determines the selective activation of vBNST in unpredictable threat and anxiety, and suggest that the KCNQ3 channel is a promising target for the treatment of anxiety disorders after unpredictable stress.","Anxiety is elicited by excessive apprehension about unpredictable threats. However, the neural circuit governing unpredictable threat induced anxiety remains unclear. Here, we found ventral bed nucleus of the stria terminalis (vBNST) GABAergic neurons displayed selective activation to unpredictable threats through coordinated excitatory input from insular cortex glutamergic neurons and inhibitory input from the lateral nucleus of the amygdala (CeL) somatostatin neurons. Using activity-dependent neuronal tagging technology, we found that unpredictable threat responsive cells in vBNST drive freezing and anxiety via projections to ventral lateral periaqueductal gray (vlPAG) and median nucleus of the amygdala, respectively. Finally, we identified that potassium voltage-gated channel subfamily Q member 3 (KCNQ3) is inhibited by hyperactivity of vBNST GABAergic neurons, leading to increased anxiety. These data revealed a forward inhibitory circuit that determines the selective activation of vBNST in unpredictable threat and anxiety, and suggest that the KCNQ3 channel is a promising target for the treatment of anxiety disorders after unpredictable stress.",text 1
"Childbirth is a life-changing event in a mother's life. While the transition to motherhood has recently been recognized as one of the most neuroplastic periods in adulthood, no study has yet explored whether the hippocampus and amygdala change during the peripartum in relation to childbirth experience and perinatal depression symptoms. In this longitudinal neuroimaging study, we assessed 88 first-time gestational mothers in late pregnancy and early postpartum and 30 nulliparous control women. We used optimized high-resolution MRI scans to quantify volumetric changes in the hippocampus and amygdala, along with their substructures. We found that increases in depression symptoms during the peripartum were positively correlated with changes in the right amygdala. Bilateral increases in hippocampal volume were associated with causing more challenging birth experiences. These findings show that studying the neuroanatomical changes during the transition to motherhood can inform not only about adaptive processes but also about potential vulnerabilities, highlighting the importance of tracking perinatal experiences to enhance women's health.","Childbirth is a life-changing event in a mother's life. While the transition to motherhood has recently been recognized as one of the most neuroplastic periods in adulthood, no study has yet explored whether the hippocampus and amygdala change during the peripartum in relation to childbirth experience and perinatal depression symptoms. In this longitudinal neuroimaging study, we assessed 88 first-time gestational mothers in late pregnancy and early postpartum and 30 nulliparous control women. We used optimized high-resolution MRI scans to quantify volumetric changes in the hippocampus and amygdala, along with their substructures. We found that increases in depression symptoms during the peripartum were positively correlated with changes in the right amygdala. A more challenging birth experience was associated with bilateral increases in hippocampal volume. These findings show that studying the neuroanatomical changes during the transition to motherhood can inform not only about adaptive processes but also about potential vulnerabilities, highlighting the importance of tracking perinatal experiences to enhance women's health.",text 2
"Meditation is an accessible mental practice associated with emotional regulation and well-being. Loving-kindness meditation (LKM), a specific subtype of meditative practice, involves focusing one's attention on thoughts of well-being for oneself and others. Meditation has been proven to be beneficial in a variety of settings, including therapeutic applications, but the neural activity underlying meditative practices and their positive effects are not well understood. It has been difficult to understand the contribution of deep limbic structures given the difficulty of studying neural activity directly in the human brain. Here, we leverage a unique patient population, epilepsy patients chronically implanted with responsive neurostimulation devices that allow chronic, invasive electrophysiology recording to investigate the physiological correlates of LKM in the amygdala and hippocampus of novice meditators. We find that LKM-associated changes in physiological activity were specific to periodic, but not aperiodic, features of neural activity. LKM was associated with an increase in γ (30 to 55 Hz) power and an alternation in the duration of β (13 to 30 Hz) and γ oscillatory bursts in both the amygdala and hippocampus, two regions associated with mood disorders. These findings reveal the nature of LKM-induced modulation of limbic activity in first-time meditators.","Meditation is an accessible mental practice associated with emotional regulation and well-being. Loving-kindness meditation (LKM), a specific subtype of meditative practice, involves focusing one's attention on thoughts of well-being for oneself and others. Meditation has been proven to be beneficial in a variety of settings, including therapeutic applications, but the neural activity underlying meditative practices and their positive effects are not well understood. It has been difficult to understand the contribution of deep limbic structures given the difficulty of studying neural activity directly in the human brain. Here, we leverage a unique patient population, epilepsy patients chronically implanted with responsive neurostimulation devices that allow chronic, invasive electrophysiology recording to investigate the physiological correlates of LKM in the amygdala and hippocampus of novice meditators. We find that LKM-associated changes in physiological activity were specific to periodic, but not aperiodic, features of neural activity. An increase in γ (30 to 55 Hz) power in both the amygdala and hippocampus leads to the practice of LKM, rather than the reverse effect. These findings reveal the nature of LKM-induced modulation of limbic activity in first-time meditators.",text 1
"Emotional arousal plays a critical role in determining what is remembered from experiences. It is hypothesized that activation of the amygdala by emotional stimuli enhances memory consolidation in its downstream brain regions. However, the physiological basis of the inter-regional interaction and its functions remain unclear. Here, by adding emotional information to a perceptual recognition task that relied on a frontal-sensory cortical circuit in mice, we demonstrated that the amygdala not only associates emotional information with perceptual information but also enhances perceptual memory retention via amygdalo-frontal cortical projections. Furthermore, emotional association increased reactivation of coordinated activity across the amygdalo-cortical circuit during non-rapid eye movement (NREM) sleep but not during rapid eye movement (REM) sleep. Notably, this increased reactivation was associated with amygdala high-frequency oscillations. Silencing of amygdalo-cortical inputs during NREM sleep selectively disrupted perceptual memory enhancement. Our findings indicate that inter-regional reactivation triggered by the amygdala during NREM sleep underlies emotion-induced perceptual memory enhancement.","Emotional arousal plays a critical role in determining what is remembered from experiences. It is hypothesized that activation of the amygdala by emotional stimuli enhances memory consolidation in its downstream brain regions. However, the physiological basis of the inter-regional interaction and its functions remain unclear. Here, by adding emotional information to a perceptual recognition task that relied on a frontal-sensory cortical circuit in mice, we demonstrated that the amygdala not only associates emotional information with perceptual information but also enhances perceptual memory retention via amygdalo-frontal cortical projections. Furthermore, emotional association increased reactivation of coordinated activity across the amygdalo-cortical circuit during non-rapid eye movement (NREM) sleep but not during rapid eye movement (REM) sleep. Notably, this increased reactivation was associated with amygdala high-frequency oscillations. Silencing of amygdalo-cortical inputs during NREM sleep selectively disrupted perceptual memory enhancement. Our findings indicate that emotion-induced perceptual memory enhancement causes inter-regional reactivation triggered by the amygdala during NREM sleep.",text 1
"Psychiatric disorders are multifactorial and effective treatments are lacking. Probable contributing factors to the challenges in therapeutic development include the complexity of the human brain and the high polygenicity of psychiatric disorders. Combining well-powered genome-wide and brain-wide genetics and transcriptomics analyses can deepen our understanding of the etiology of psychiatric disorders. Here, we leverage two landmark resources to infer the cell types involved in the etiology of schizophrenia, other psychiatric disorders and informative comparison of brain phenotypes. We found both cortical and subcortical neuronal associations for schizophrenia, bipolar disorder and depression. These cell types included somatostatin interneurons, excitatory neurons from the retrosplenial cortex and eccentric medium spiny-like neurons from the amygdala. In contrast we found T cell and B cell associations with multiple sclerosis and microglial associations with Alzheimer's disease. We provide a framework for a cell-type-based classification system that can lead to drug repurposing or development opportunities and personalized treatments. This work formalizes a data-driven, cellular and molecular model of complex brain disorders.","Psychiatric disorders are multifactorial and effective treatments are lacking. Probable contributing factors to the challenges in therapeutic development include the complexity of the human brain and the high polygenicity of psychiatric disorders. Combining well-powered genome-wide and brain-wide genetics and transcriptomics analyses can deepen our understanding of the etiology of psychiatric disorders. Here, we leverage two landmark resources to infer the cell types involved in the etiology of schizophrenia, other psychiatric disorders and informative comparison of brain phenotypes. We found both cortical and subcortical neuronal associations for schizophrenia, bipolar disorder and depression. These cell types included somatostatin interneurons, excitatory neurons from the retrosplenial cortex and eccentric medium spiny-like neurons from the amygdala. In contrast, Alzheimer's disease was shown to cause microglial associations instead of the other way around. We provide a framework for a cell-type-based classification system that can lead to drug repurposing or development opportunities and personalized treatments. This work formalizes a data-driven, cellular and molecular model of complex brain disorders.",text 1
