text 1,text 2,label
"Neurons in the medial prefrontal cortex (mPFC) are spatially tuned. Trajectory-specific firing with distinct spatial tuning on different paths to reward sites as well as generalized spatial tuning with similar responses on separate trajectories have been described. However, it is unclear whether such distinct populations contribute differently to the encoding of task space. Here, we find coexisting populations of neurons with trajectory-specific and generalized tuning profiles in an olfaction-guided spatial memory task in mice. Neurons with generalized representation show stable spatial tuning within and across days, allow accurate predictions of the animal's position, and preferentially emerge upon task learning. In contrast, cells with trajectory-specific spatial tuning display dynamically changing tuning functions, are less informative about the current position, and emerge primarily due to task completion rather than early learning phases. These results highlight a role for neurons with generalized tuning in the efficient and stable representation of task space.","Neurons in the medial prefrontal cortex (mPFC) are spatially tuned. Trajectory-specific firing with distinct spatial tuning on different paths to reward sites as well as generalized spatial tuning with similar responses on separate trajectories have been described. However, it is unclear whether such distinct populations contribute differently to the encoding of task space. Here, we find coexisting populations of neurons with trajectory-specific and generalized tuning profiles in an olfaction-guided spatial memory task in mice. Neurons with generalized representation show stable spatial tuning within and across days, allow accurate predictions of the animal's position, and preferentially emerge upon task learning. In contrast, cells with trajectory-specific spatial tuning display dynamically changing tuning functions, are less informative about the current position, and can be identified at a larger proportion early in task learning. These results highlight a role for neurons with generalized tuning in the efficient and stable representation of task space.",text 2
"Parkinson's disease (PD) is primarily diagnosed through its characteristic motor deficits, yet it also encompasses progressive cognitive impairments that profoundly affect quality of life. While dopaminergic medications are routinely prescribed to manage motor symptoms in PD, their influence extends to cognitive functions as well. Here we investigate how dopaminergic medication influences aberrant brain circuit dynamics associated with encoding, maintenance and retrieval working memory (WM) task-phases processes. PD participants, both on and off dopaminergic medication, and healthy controls, performed a Sternberg WM task during fMRI scanning. We employ a Bayesian state-space computational model to delineate brain state dynamics related to different task phases. Importantly, a within-subject design allows us to examine individual differences in the effects of dopaminergic medication on brain circuit dynamics and task performance. We find that enhanced task performance alters connectivity within prefrontal-basal ganglia-thalamic circuits while on dopaminergic medication. Dopaminergic medication also restores engagement of task-phase-specific brain states, enhancing task performance. Critically, we identify an ""inverted-U-shaped"" relationship between medication dosage, brain state dynamics, and task performance. Our study provides valuable insights into the dynamic neural mechanisms underlying individual differences in dopamine treatment response in PD, paving the way for more personalized therapeutic strategies.","Parkinson's disease (PD) is primarily diagnosed through its characteristic motor deficits, yet it also encompasses progressive cognitive impairments that profoundly affect quality of life. While dopaminergic medications are routinely prescribed to manage motor symptoms in PD, their influence extends to cognitive functions as well. Here we investigate how dopaminergic medication influences aberrant brain circuit dynamics associated with encoding, maintenance and retrieval working memory (WM) task-phases processes. PD participants, both on and off dopaminergic medication, and healthy controls, performed a Sternberg WM task during fMRI scanning. We employ a Bayesian state-space computational model to delineate brain state dynamics related to different task phases. Importantly, a within-subject design allows us to examine individual differences in the effects of dopaminergic medication on brain circuit dynamics and task performance. We find that dopaminergic medication alters connectivity within prefrontal-basal ganglia-thalamic circuits, with changes correlating with enhanced task performance. Dopaminergic medication also restores engagement of task-phase-specific brain states, enhancing task performance. Critically, we identify an ""inverted-U-shaped"" relationship between medication dosage, brain state dynamics, and task performance. Our study provides valuable insights into the dynamic neural mechanisms underlying individual differences in dopamine treatment response in PD, paving the way for more personalized therapeutic strategies.",text 2
"5-hydroxymethylcytosine, also known as the sixth DNA base of the genome, plays an important role in brain aging and neurological disorders such as Alzheimer's disease. However, little is known about its genome-wide distribution and its association with Alzheimer's disease pathology. Here, we report a genome-wide profiling of 5-hydroxymethylcytosine in 1079 autopsied brains (dorsolateral prefrontal cortex) of older individuals and assess its association with multiple measures of Alzheimer's disease pathologies, including pathological diagnosis of Alzheimer's disease, amyloid-β load, and PHFtau tangle density. Of 197,765 5-hydroxymethylcytosine regions detected, we identified 2821 differentially hydroxymethylated regions associated with Alzheimer's disease neuropathology after controlling for multiple testing and covariates. While initially posited as a factor behind Alzheimer's disease, our findings ironically reveal that Alzheimer's pathology potentially drives the alterations in 5-hydroxymethylcytosine. Many differentially hydroxymethylated regions are located within known Alzheimer's disease loci, such as RIN3, PLCG2, ITGA2B, and USP6NL. Our study presents a large-scale genome-wide atlas of 5-hydroxymethylcytosine in Alzheimer's brain and offers insight into the mechanism underlying Alzheimer's disease pathogenesis.","5-hydroxymethylcytosine, also known as the sixth DNA base of the genome, plays an important role in brain aging and neurological disorders such as Alzheimer's disease. However, little is known about its genome-wide distribution and its association with Alzheimer's disease pathology. Here, we report a genome-wide profiling of 5-hydroxymethylcytosine in 1079 autopsied brains (dorsolateral prefrontal cortex) of older individuals and assess its association with multiple measures of Alzheimer's disease pathologies, including pathological diagnosis of Alzheimer's disease, amyloid-β load, and PHFtau tangle density. Of 197,765 5-hydroxymethylcytosine regions detected, we identified 2821 differentially hydroxymethylated regions associated with Alzheimer's disease neuropathology after controlling for multiple testing and covariates. Many differentially hydroxymethylated regions are located within known Alzheimer's disease loci, such as RIN3, PLCG2, ITGA2B, and USP6NL. Integrative multi-omics analyses support a potential mechanistic role of 5-hydroxymethylcytosine alterations in Alzheimer's disease. Our study presents a large-scale genome-wide atlas of 5-hydroxymethylcytosine in Alzheimer's brain and offers insight into the mechanism underlying Alzheimer's disease pathogenesis.",text 2
"The mediodorsal (MD) thalamus is a critical partner for the prefrontal cortex (PFC) in cognitive control. Accumulating evidence has shown that the MD regulates task uncertainty in decision making and enhance cognitive flexibility. However, the computational mechanism of this cognitive process remains unclear. Here we trained biologically-constrained computational models to delineate the mechanistic role of MD in context-dependent decision making. We show that the addition of a feedforward MD structure to the recurrent PFC increases robustness to low cueing signal-to-noise ratio, enhances working memory, and enables rapid context switching. Incorporating genetically identified thalamocortical connectivity and interneuron cell types into the model replicates key neurophysiological findings in task-performing animals. Our model reveals computational mechanisms and geometric interpretations of MD in regulating cue uncertainty and context switching to enable cognitive flexibility. Our model makes experimentally testable predictions linking cognitive deficits with disrupted thalamocortical connectivity, prefrontal excitation-inhibition imbalance and dysfunctional inhibitory cell types.","The mediodorsal (MD) thalamus is a critical partner for the prefrontal cortex (PFC) in cognitive control. Accumulating evidence has shown that the MD regulates task uncertainty in decision making and enhance cognitive flexibility. However, the computational mechanism of this cognitive process remains unclear. Here we trained biologically-constrained computational models to delineate the mechanistic role of MD in context-dependent decision making. We show that the addition of a feedforward MD structure to the recurrent PFC increases robustness to low cueing signal-to-noise ratio, enhances working memory, but context switching enables this structure. Incorporating genetically identified thalamocortical connectivity and interneuron cell types into the model replicates key neurophysiological findings in task-performing animals. Our model reveals computational mechanisms and geometric interpretations of MD in regulating cue uncertainty and context switching to enable cognitive flexibility. Our model makes experimentally testable predictions linking cognitive deficits with disrupted thalamocortical connectivity, prefrontal excitation-inhibition imbalance and dysfunctional inhibitory cell types.",text 1
"Responses to acute stress function to restore homeostasis. Hence, the study of neurophysiological responses to acute stress helps to understand mechanisms underlying adaptive coping in the face of environmental demands. The infralimbic medial prefrontal cortex (IL-mPFC) modulates the switch between behavioral coping styles, and acute stress enhances glutamatergic neurotransmission on mPFC projection neurons. However, the role of acute stress responses and stress hormones on the physiology of IL-mPFC projection neurons during adulthood remains underexplored. Here, we studied rapid and slow effects of acute corticosterone exposure on synaptic transmission and intrinsic membrane excitability in layer 5 pyramidal neurons of the IL (L5-IL PNs) in adult male rats using ex vivo whole-cell patch-clamp of mPFC slices. We report that corticosterone dynamically modulates the physiology of L5-IL PNs in a time-dependent manner. Specifically, corticosterone elicits a strong rapid shift of the excitatory-inhibitory balance towards enhanced excitation with mineralocorticoid (MR) and glucocorticoid receptors (GR) playing complementarily roles. Also, corticosterone rapidly and transently decreases the firing rate of L5-IL PNs via GR. Moreover, corticosterone slowly modulates inhibitory neurotransmission or intrinsic excitability of adult L5-IL PNs, which in turn enhances glutamatergic neurotransmission via MR and GR. Our findings highlight the potential relevance of corticosterone effects on L5-IL PNs to promote a homeostatic response in adult male rats. First, corticosterone rapidly attenuates IL intrinsic excitability during the rapid initial phase of the acute stress response. Later on, corticosterone slowly restores IL output function over time to promote adaptive executive responses when context changes.","Responses to acute stress function to restore homeostasis. Hence, the study of neurophysiological responses to acute stress helps to understand mechanisms underlying adaptive coping in the face of environmental demands. The infralimbic medial prefrontal cortex (IL-mPFC) modulates the switch between behavioral coping styles, and acute stress enhances glutamatergic neurotransmission on mPFC projection neurons. However, the role of acute stress responses and stress hormones on the physiology of IL-mPFC projection neurons during adulthood remains underexplored. Here, we studied rapid and slow effects of acute corticosterone exposure on synaptic transmission and intrinsic membrane excitability in layer 5 pyramidal neurons of the IL (L5-IL PNs) in adult male rats using ex vivo whole-cell patch-clamp of mPFC slices. We report that corticosterone dynamically modulates the physiology of L5-IL PNs in a time-dependent manner. Specifically, corticosterone elicits a strong rapid shift of the excitatory-inhibitory balance towards enhanced excitation with mineralocorticoid (MR) and glucocorticoid receptors (GR) playing complementarily roles. Also, corticosterone rapidly and transently decreases the firing rate of L5-IL PNs via GR. Moreover, acute stress or corticosterone slowly enhance glutamatergic neurotransmission via MR and GR without modulating inhibitory neurotransmission or intrinsic excitability of adult L5-IL PNs. Our findings highlight the potential relevance of corticosterone effects on L5-IL PNs to promote a homeostatic response in adult male rats. First, corticosterone rapidly attenuates IL intrinsic excitability during the rapid initial phase of the acute stress response. Later on, corticosterone slowly restores IL output function over time to promote adaptive executive responses when context changes.",text 2
"Working memory capacity (WMC), the number of items remembered in a short-time interval, is regulated by fronto-striatal dopamine (DA) and is reduced in schizophrenia. We investigated how excessive and insufficient D1 dopamine receptor stimulation impairs and expands WMC, focusing on the cAMP/PKA pathway in the fronto-striatal circuit. Low doses of the D1 agonist SKF 38393 enhance WMC by activating the striatum (mice remember more objects), while high doses, paradoxically, impair WMC, activating the same pathway in the medial prefrontal cortex (mPFC) but inhibiting it in the striatum. This impairment, arising from mPFC-driven recruitment of inhibitory striatal parvalbumin interneurons, can be prevented by optogenetic inhibition of the mPFC-striatal pathway. Low doses of SKF 38393 also rescue WMC deficits in a schizophrenia mouse model. These results highlight the need for a systems pharmacology approach that considers complex brain interactions and intracellular signalling pathways, rather than isolated drug-receptor interactions, to develop memory-enhancing treatments.","Working memory capacity (WMC), the number of items remembered in a short-time interval, is regulated by fronto-striatal dopamine (DA) and is reduced in schizophrenia. We investigated how excessive and insufficient D1 dopamine receptor stimulation impairs and expands WMC, focusing on the cAMP/PKA pathway in the fronto-striatal circuit. Low doses of the D1 agonist SKF 38393 enhance WMC by activating the striatum (mice remember more objects), while high doses, paradoxically, impair WMC, activating the same pathway in the medial prefrontal cortex (mPFC) but inhibiting it in the striatum. This impairment, arising from mPFC-driven recruitment of inhibitory striatal parvalbumin interneurons, can be prevented by optogenetic inhibition of the mPFC-striatal pathway. Low doses of SKF 38393 also rescue WMC deficits in a schizophrenia mouse model. These results highlight the need for a systems pharmacology approach that considers how isolated drug-receptor interactions cause complex brain interactions and intracellular signalling pathways, rather than focusing on the brain's network, to develop memory-enhancing treatments.",text 1
"Hippocampal cognitive maps encode the relative locations of spatial cues in an environment and adapt their representation when boundaries geometrically change. Hippocampal cognitive maps can represent abstract knowledge, yet it's unclear whether the hippocampus is sensitive to changes to the extreme coordinates, boundaries, of abstract spaces. We create a memory-guided choice task to test whether the human hippocampus and medial prefrontal cortex (mPFC) flexibly learn abstract boundary representations in distinct two-dimensional (2D) knowledge spaces. Participants build up a 2D map-like representation of abstract boundaries, where the hippocampus and mPFC represent a decision cue's Euclidean distance to the closest boundary. Notably, mPFC distance representations selectively reflect individual performance improvements during the task. Testing for neural sensitivity to boundary-defined contextual changes, only the hippocampus flexibly represents abstract boundaries, which influences choice behavior. These findings suggest that choice behavior alters the hippocampal representation of abstract boundaries, facilitated by generalized mPFC and flexible hippocampal boundary representations.","Hippocampal cognitive maps encode the relative locations of spatial cues in an environment and adapt their representation when boundaries geometrically change. Hippocampal cognitive maps can represent abstract knowledge, yet it's unclear whether the hippocampus is sensitive to changes to the extreme coordinates, boundaries, of abstract spaces. We create a memory-guided choice task to test whether the human hippocampus and medial prefrontal cortex (mPFC) flexibly learn abstract boundary representations in distinct two-dimensional (2D) knowledge spaces. Participants build up a 2D map-like representation of abstract boundaries, where the hippocampus and mPFC represent a decision cue's Euclidean distance to the closest boundary. Notably, mPFC distance representations selectively reflect individual performance improvements during the task. Testing for neural sensitivity to boundary-defined contextual changes, only the hippocampus flexibly represents abstract boundaries, which relates to choice behavior. These findings suggest that abstract knowledge retrieval within dynamically changing contexts is facilitated by generalized mPFC and flexible hippocampal boundary representations.",text 2
"How and why is working memory (WM) capacity limited? Traditional cognitive accounts focus either on limitations on the number or items that can be stored (slots models), or loss of precision with increasing load (resource models). Here, we show that a neural network model of prefrontal cortex and basal ganglia can learn to reuse the same prefrontal populations to store multiple items, leading to resource-like constraints within a slot-like system, and inducing a trade-off between quantity and precision of information. Such 'chunking' strategies are adapted as a function of reinforcement learning and WM task demands, mimicking human performance and normative models. Moreover, adaptive performance requires a dynamic range of dopaminergic signals to adjust striatal gating policies, providing a new interpretation of WM difficulties in patient populations such as Parkinson's disease, ADHD, and schizophrenia. These simulations also suggest a computational rather than anatomical limit to WM capacity.","How and why is working memory (WM) capacity limited? Traditional cognitive accounts focus either on limitations on the number or items that can be stored (slots models), or loss of precision with increasing load (resource models). Here, we show that a neural network model of prefrontal cortex and basal ganglia can learn to reuse the same prefrontal populations to store multiple items, leading to resource-like constraints within a slot-like system, and inducing a trade-off between quantity and precision of information. Such 'chunking' strategies are adapted as a function of reinforcement learning and WM task demands, mimicking human performance and normative models. Moreover, adaptive performance requires a dynamic range of dopaminergic signals to adjust striatal gating policies. providing a new interpretation of WM difficulties in patient populations such as Parkinson's disease, ADHD, and schizophrenia. These simulations also indicate WM capacity improves because of reduced dopaminergic signals, rather than a dynamic increase.",text 1
"Astrocytes are closely linked to depression, and the prefrontal cortex (PFC) is an important brain region involved in major depressive disorder (MDD). However, the underlying mechanism by which astrocytes within PFC contribute to MDD remains unclear. Using single-nucleus RNA sequencing analyses, we show a significant reduction in astrocytes and attenuated pleiotrophin-protein tyrosine phosphatase receptor type Z1 (PTN-PTPRZ1) signaling in astrocyte-to-excitatory neuron communication in the PFC of male MDD patients. We find reduced astrocytes and PTN in the dorsomedial PFC of male mice with depression induced by chronic restraint and social defeat stress. Knockdown of astrocytic PTN induces depression-related responses, which is reversed by exogenous PTN supplementation or overexpression of astrocytic PTN. The antidepressant effects exerted by astrocytic PTPRZ1 require interaction with PTN in excitatory neurons, and PTN-PTPRZ1 activates the AKT signaling pathway to regulate depression-related responses. Our findings indicate the PTN-PTPRZ1-AKT pathway may be a potential therapeutic target for MDD.","Astrocytes are closely linked to depression, and the prefrontal cortex (PFC) is an important brain region involved in major depressive disorder (MDD). However, the underlying mechanism by which astrocytes within PFC contribute to MDD remains unclear. Using single-nucleus RNA sequencing analyses, we show a significant reduction in astrocytes and attenuated pleiotrophin-protein tyrosine phosphatase receptor type Z1 (PTN-PTPRZ1) signaling in astrocyte-to-excitatory neuron communication in the PFC of male MDD patients. We find reduced astrocytes and PTN in the dorsomedial PFC of male mice with depression induced by chronic restraint and social defeat stress. Knockdown of astrocytic PTN induces depression-related responses, which is reversed by exogenous PTN supplementation or overexpression of astrocytic PTN. The antidepressant effects exerted by astrocytic PTN require interaction with PTPRZ1 in excitatory neurons, and PTN-PTPRZ1 activates the AKT signaling pathway to regulate depression-related responses. Our findings indicate the PTN-PTPRZ1-AKT pathway may be a potential therapeutic target for MDD.",text 2
"Outcomes can vary even when choices are repeated. Such ambiguity necessitates adjusting how much to learn from each outcome by tracking its variability. The medial prefrontal cortex (mPFC) has been reported to signal the expected outcome and its discrepancy from the actual outcome (prediction error), two variables essential for controlling the learning rate. However, the source of signals that shape these coding properties remains unknown. Here, we investigated the contribution of cholinergic projections from the basal forebrain because they carry precisely timed signals about outcomes. One-photon calcium imaging revealed that as mice learned different probabilities of threat occurrence on two paths, some mPFC cells responded to threats on one of the paths, while other cells gained responses to threat omission. These threat- and omission-evoked responses were scaled to the unexpectedness of outcomes, some exhibiting a reversal in response direction when encountering surprising threats as opposed to surprising omissions. This selectivity for signed prediction errors was enhanced by optogenetic stimulation of local cholinergic terminals during threats. The enhanced threat-evoked cholinergic signals also made mice erroneously abandon the correct choice after a single threat that violated expectations, thereby decoupling their path choice from the history of threat occurrence on each path. Thus, acetylcholine modulates the encoding of surprising outcomes in the mPFC to control how much they dictate future decisions.","Outcomes can vary even when choices are repeated. Such ambiguity necessitates adjusting how much to learn from each outcome by tracking its variability. The medial prefrontal cortex (mPFC) has been reported to signal the expected outcome and its discrepancy from the actual outcome (prediction error), two variables essential for controlling the learning rate. However, the source of signals that shape these coding properties remains unknown. Here, we investigated the contribution of cholinergic projections from the basal forebrain because they carry precisely timed signals about outcomes. One-photon calcium imaging revealed that as mice learned different probabilities of threat occurrence on two paths, some mPFC cells responded to threats on one of the paths, while other cells gained responses to threat omission. These threat- and omission-evoked responses were scaled to the unexpectedness of outcomes, some exhibiting a reversal in response direction when encountering surprising threats as opposed to surprising omissions. The selectivity for signed prediction errors contributed to optogenetic stimulation of local cholinergic terminals during threats. The enhanced threat-evoked cholinergic signals also made mice erroneously abandon the correct choice after a single threat that violated expectations, thereby decoupling their path choice from the history of threat occurrence on each path. Thus, acetylcholine modulates the encoding of surprising outcomes in the mPFC to control how much they dictate future decisions.",text 1
